config_label,low_q,high_q,intra_agg,inter_agg,all_case_roles_hold,n_case_roles_hold
q10-90|geometric|mean_equal,0.1,0.9,geometric,mean_equal,False,3
q10-90|geometric|mean_nonphysics,0.1,0.9,geometric,mean_nonphysics,False,3
q10-90|geometric|minimum,0.1,0.9,geometric,minimum,False,3
q10-90|arithmetic|mean_equal,0.1,0.9,arithmetic,mean_equal,False,3
q10-90|arithmetic|mean_nonphysics,0.1,0.9,arithmetic,mean_nonphysics,False,3
q10-90|arithmetic|minimum,0.1,0.9,arithmetic,minimum,False,3
q10-90|minimum|mean_equal,0.1,0.9,minimum,mean_equal,False,2
q10-90|minimum|mean_nonphysics,0.1,0.9,minimum,mean_nonphysics,False,2
q10-90|minimum|minimum,0.1,0.9,minimum,minimum,False,2
q15-85|geometric|mean_equal,0.15,0.85,geometric,mean_equal,True,4
q15-85|geometric|mean_nonphysics,0.15,0.85,geometric,mean_nonphysics,True,4
q15-85|geometric|minimum,0.15,0.85,geometric,minimum,True,4
q15-85|arithmetic|mean_equal,0.15,0.85,arithmetic,mean_equal,True,4
q15-85|arithmetic|mean_nonphysics,0.15,0.85,arithmetic,mean_nonphysics,True,4
q15-85|arithmetic|minimum,0.15,0.85,arithmetic,minimum,True,4
q15-85|minimum|mean_equal,0.15,0.85,minimum,mean_equal,False,3
q15-85|minimum|mean_nonphysics,0.15,0.85,minimum,mean_nonphysics,False,3
q15-85|minimum|minimum,0.15,0.85,minimum,minimum,False,3
q20-80|geometric|mean_equal,0.2,0.8,geometric,mean_equal,True,4
q20-80|geometric|mean_nonphysics,0.2,0.8,geometric,mean_nonphysics,True,4
q20-80|geometric|minimum,0.2,0.8,geometric,minimum,True,4
q20-80|arithmetic|mean_equal,0.2,0.8,arithmetic,mean_equal,False,3
q20-80|arithmetic|mean_nonphysics,0.2,0.8,arithmetic,mean_nonphysics,False,3
q20-80|arithmetic|minimum,0.2,0.8,arithmetic,minimum,False,3
q20-80|minimum|mean_equal,0.2,0.8,minimum,mean_equal,False,3
q20-80|minimum|mean_nonphysics,0.2,0.8,minimum,mean_nonphysics,False,3
q20-80|minimum|minimum,0.2,0.8,minimum,minimum,False,3
