config_label,case,low_q,high_q,intra_agg,inter_agg,selection_rule,n_selected,dominant_dimension,role_holds,spearman_rel_l2_vs_R,physics_consistency_count,training_stability_count,numerical_accuracy_count,structural_stability_count
q10-90|geometric|mean_equal,poisson,0.1,0.9,geometric,mean_equal,top_quartile_rel_l2,8,numerical_accuracy,True,-0.6453837597330367,0,1,4,3
q10-90|geometric|mean_equal,burgers,0.1,0.9,geometric,mean_equal,threshold_rel_l2,59,training_stability,True,-0.9025082044069386,10,23,19,7
q10-90|geometric|mean_equal,stokes_poiseuille,0.1,0.9,geometric,mean_equal,threshold_rel_l2,8,numerical_accuracy,True,-0.8356117566643882,1,0,7,0
q10-90|geometric|mean_equal,fisher_kpp,0.1,0.9,geometric,mean_equal,threshold_rel_l2,13,physics_consistency,False,-0.9016685205784205,7,4,2,0
q10-90|geometric|mean_nonphysics,poisson,0.1,0.9,geometric,mean_nonphysics,top_quartile_rel_l2,8,numerical_accuracy,True,-0.7397107897664071,0,1,4,3
q10-90|geometric|mean_nonphysics,burgers,0.1,0.9,geometric,mean_nonphysics,threshold_rel_l2,59,training_stability,True,-0.8862165963431786,10,23,19,7
q10-90|geometric|mean_nonphysics,stokes_poiseuille,0.1,0.9,geometric,mean_nonphysics,threshold_rel_l2,8,numerical_accuracy,True,-0.8047163362952837,1,0,7,0
q10-90|geometric|mean_nonphysics,fisher_kpp,0.1,0.9,geometric,mean_nonphysics,threshold_rel_l2,13,physics_consistency,False,-0.9043381535038932,7,4,2,0
q10-90|geometric|minimum,poisson,0.1,0.9,geometric,minimum,top_quartile_rel_l2,8,numerical_accuracy,True,-0.5305895439377085,0,1,4,3
q10-90|geometric|minimum,burgers,0.1,0.9,geometric,minimum,threshold_rel_l2,59,training_stability,True,-0.7950539146741679,10,23,19,7
q10-90|geometric|minimum,stokes_poiseuille,0.1,0.9,geometric,minimum,threshold_rel_l2,8,numerical_accuracy,True,-0.7058783321941217,1,0,7,0
q10-90|geometric|minimum,fisher_kpp,0.1,0.9,geometric,minimum,threshold_rel_l2,13,physics_consistency,False,-0.8482758620689655,7,4,2,0
q10-90|arithmetic|mean_equal,poisson,0.1,0.9,arithmetic,mean_equal,top_quartile_rel_l2,8,numerical_accuracy,True,-0.7005561735261402,0,0,4,4
q10-90|arithmetic|mean_equal,burgers,0.1,0.9,arithmetic,mean_equal,threshold_rel_l2,59,training_stability,True,-0.9260431317393343,9,23,19,8
q10-90|arithmetic|mean_equal,stokes_poiseuille,0.1,0.9,arithmetic,mean_equal,threshold_rel_l2,8,numerical_accuracy,True,-0.8326725905673275,0,0,8,0
q10-90|arithmetic|mean_equal,fisher_kpp,0.1,0.9,arithmetic,mean_equal,threshold_rel_l2,13,physics_consistency,False,-0.9016685205784205,7,2,2,2
q10-90|arithmetic|mean_nonphysics,poisson,0.1,0.9,arithmetic,mean_nonphysics,top_quartile_rel_l2,8,numerical_accuracy,True,-0.7810901001112347,0,0,4,4
q10-90|arithmetic|mean_nonphysics,burgers,0.1,0.9,arithmetic,mean_nonphysics,threshold_rel_l2,59,training_stability,True,-0.9121659634317862,9,23,19,8
q10-90|arithmetic|mean_nonphysics,stokes_poiseuille,0.1,0.9,arithmetic,mean_nonphysics,threshold_rel_l2,8,numerical_accuracy,True,-0.8038961038961039,0,0,8,0
q10-90|arithmetic|mean_nonphysics,fisher_kpp,0.1,0.9,arithmetic,mean_nonphysics,threshold_rel_l2,13,physics_consistency,False,-0.9056729699666296,7,2,2,2
