variant,critical_subtype,n_run,transferred_R_mean,transferred_R_std,transferred_R_min,transferred_R_max,transferred_rel_l2_mean,transferred_rel_l2_std,transferred_rel_l2_min,transferred_rel_l2_max,structural_stability_recal_mean,structural_stability_recal_std,structural_stability_recal_min,structural_stability_recal_max,training_stability_recal_mean,training_stability_recal_std,training_stability_recal_min,training_stability_recal_max
all_variants,critical_instability,9,0.598766005899551,0.34196428330369993,0.0,0.9631728544949438,0.07722691477436844,0.06628156351483762,0.0318551547825336,0.2468445896494626,0.745717113408477,0.27477702735384507,4.2832772595765066e-05,0.9231314104490864,0.6548131623061599,0.33890126114096775,0.0148611180827198,0.9368114620828828
all_variants,critical_transition,9,0.8451760311930314,0.14250687426762507,0.6231165200351211,1.0,0.030496761526541547,0.009484604087579982,0.0182545682205107,0.0478897504508495,0.9184437174109854,0.042186647466267005,0.8020369880080895,0.949546074279634,0.7653382308279653,0.25945589930937707,0.1105508370820472,0.9396054063211622
all_variants,reliable,9,0.8124815145630879,0.15160043165751602,0.5365704591706162,1.0,0.02975834377022903,0.026472850288962627,-0.0076379773289929,0.0877984149204248,0.918422587782963,0.04249337840224264,0.8065102942007806,0.95419969189392,0.8342220504229052,0.24365716225757203,0.1720405539674566,0.9509344510677832
all_variants,unreliable,9,0.21381288623390932,0.16210247314059195,0.0,0.4168365814258534,0.08526438598831484,0.01910254626558657,0.0578622020328598,0.1220466928066643,0.4294944034170919,0.32533446134191996,6.503858956192635e-06,0.9062818168760172,0.4172423378912788,0.34091801079964834,0.0001410729340244,0.9035081694151498
baseline,critical_instability,3,0.5252905335603831,0.3517427180462896,0.0588608111709369,0.9082281221603518,0.05665655558307964,0.03457331679162113,0.0318551547825336,0.1055488884449005,0.5947809800541258,0.42055767074693523,4.2832772595765066e-05,0.8963966714350712,0.3798464528467849,0.39222891295918016,0.0148611180827198,0.9240773671658572
baseline,critical_transition,3,0.7727036130902322,0.007499012158087445,0.7624604042398666,0.7802043516765249,0.035737967739502566,0.009749266318378778,0.0240208953619003,0.0478897504508495,0.8823119857580197,0.056820570279469566,0.8020369880080895,0.9255814748169966,0.7602862508405511,0.16577369027330696,0.5260307031724669,0.8854532018893271
baseline,reliable,3,0.8688900807798586,0.07463188803962585,0.7706202210125238,0.9513739846285544,0.024517137557268063,0.0033933932956714094,0.0201235525310039,0.0283857509493827,0.9364599883413565,0.009983638203302768,0.9223633245855084,0.944195779947257,0.9395782510836751,0.007410080437136385,0.929533749956702,0.947187959078681
baseline,unreliable,3,0.19022861926963788,0.14049155431974877,0.0131929133492922,0.3568527099751537,0.08526438598831489,0.01751763796298366,0.0607360862195491,0.1005407348275184,0.08934872236131415,0.10317610922001824,6.503858956192635e-06,0.2339269898419183,0.26587600500856956,0.23352184971833304,0.0001410729340244,0.5685592266467587
capacity_v1,critical_instability,3,0.8768479543037148,0.08290573840661349,0.7649756002906191,0.9631728544949438,0.04332681205534147,0.007592067419372942,0.0378110544446874,0.0540622559676319,0.813653756115694,0.05197487984637943,0.7434970522809641,0.8677218390172742,0.8301542028216011,0.10719213920776144,0.6790906275415763,0.9166440573356732
capacity_v1,critical_transition,3,0.8884523071438218,0.1460348884162464,0.6819355306005035,0.9932594712985978,0.026439622964177335,0.010574516067782964,0.0182545682205107,0.0413711652466972,0.9336605578893579,0.006745429266833957,0.9250363812907172,0.941503780211536,0.6170625467646546,0.35849136820291466,0.1105508370820472,0.889252697996323
capacity_v1,reliable,3,0.7351850781543406,0.1948992815149957,0.5365704591706162,1.0,0.03381548233259323,0.03995636795516927,-0.0076379773289929,0.0877984149204248,0.8858057546605943,0.060784712739491834,0.8065102942007806,0.95419969189392,0.6169584538697822,0.3273968159440511,0.1720405539674566,0.950408662014248
capacity_v1,unreliable,3,0.1904980119899392,0.1461723949076656,0.0,0.3552627293059803,0.08526438598831487,0.02702964104664105,0.0578622020328598,0.1220466928066643,0.3902353983626563,0.19843636135017134,0.1752339310642007,0.6539291569953225,0.14053757196032302,0.09862719461955101,0.0012401821390066,0.2163639014919622
weight_balanced_v2,critical_instability,3,0.394159529834555,0.3092416318923543,0.0,0.7553254889414153,0.13169737668468423,0.08594995870794749,0.0404053388526637,0.2468445896494626,0.8287166040556113,0.11247703100251033,0.6706443867609307,0.9231314104490864,0.7544388312500935,0.2509025185749615,0.3996557055661356,0.9368114620828828
weight_balanced_v2,critical_transition,3,0.8743721733450404,0.17766457626690016,0.6231165200351211,1.0,0.029312693875944734,0.004203799257546436,0.0251948404457285,0.0350851572667926,0.9393586085855786,0.009517074719683577,0.926647545242938,0.949546074279634,0.9186658948786902,0.020845624169039248,0.8902249757029589,0.9396054063211622
weight_balanced_v2,reliable,3,0.8333693847550645,0.12569588475178728,0.6964363402107292,1.0,0.030942411420825797,0.021191420833802238,0.0090975270524019,0.0596332312921144,0.9330020203469388,0.004565283538582612,0.92936465191089,0.939440215775774,0.9461294463152585,0.0060157389880292,0.9376468435817402,0.9509344510677832
weight_balanced_v2,unreliable,3,0.2607120274421508,0.18554799667833335,0.0,0.4168365814258534,0.0852643859883148,0.007566550506948159,0.0745639470083338,0.0906815688121047,0.8088990895273053,0.07947934655671317,0.7115980241030105,0.9062818168760172,0.8453134367049437,0.041150122594838856,0.81604666566822,0.9035081694151498
