case,d_null,lambda_max,seed_cv,info_cv,hessian_entropy,basin_count,boundary_width
poisson,18,2540.0,0.0477,0.3035,3.9679,4,1.33
stokes_poiseuille,19,446.0,0.2206,0.1938,3.9821,2,3.67
allen_cahn,29,555.0,0.3055,1.1782,3.7366,2,
fisher_kpp,34,269.0,0.2804,0.8504,3.8574,3,5.13
burgers,27,1300.0,0.3727,0.4512,3.7846,2,4.77
heat_equation,26,903.0,0.4616,0.4506,3.7835,2,
kdv_soliton,38,906.0,0.4591,1.6765,3.5509,2,
nls_soliton,23,473.0,0.3271,1.6215,3.8558,2,
wave_equation,17,1111.0,0.33,0.3033,3.883,2,
kdv_double_soliton,32,2890.0,0.1944,2.0035,3.6104,2,
