method,case,variant,metric,anchors,source_points,target_points
M1_two_anchor_linear,burgers,baseline,rel_l2,,,
M2_three_anchor_piecewise,burgers,baseline,rel_l2,,,
M3_order_constrained_piecewise,burgers,baseline,rel_l2,,,
M4_rel2_constrained_R,burgers,baseline,rel_l2,,,
M1_two_anchor_linear,burgers,baseline,reliability_raw_recal,,,
M2_three_anchor_piecewise,burgers,baseline,reliability_raw_recal,,,
M3_order_constrained_piecewise,burgers,baseline,reliability_raw_recal,,,
M4_rel2_constrained_R,burgers,baseline,reliability_raw_recal,,,
M1_two_anchor_linear,burgers,capacity_v1,rel_l2,"safe_obs64_noise005,failure_obs32_noise0175","0.038878,0.060012","0.024517,0.085264"
M2_three_anchor_piecewise,burgers,capacity_v1,rel_l2,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.038878,0.035848,0.060012","0.024517,0.035738,0.085264"
M3_order_constrained_piecewise,burgers,capacity_v1,rel_l2,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.037363,0.037363,0.060012","0.024517,0.035738,0.085264"
M4_rel2_constrained_R,burgers,capacity_v1,rel_l2,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.037363,0.037363,0.060012","0.024517,0.035738,0.085264"
M1_two_anchor_linear,burgers,capacity_v1,reliability_raw_recal,"safe_obs64_noise005,failure_obs32_noise0175","0.720978,0.304717","0.868890,0.190229"
M2_three_anchor_piecewise,burgers,capacity_v1,reliability_raw_recal,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.720978,0.821038,0.304717","0.868890,0.772704,0.190229"
M3_order_constrained_piecewise,burgers,capacity_v1,reliability_raw_recal,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.771008,0.771008,0.304717","0.868890,0.772704,0.190229"
M4_rel2_constrained_R,burgers,capacity_v1,reliability_raw_recal,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.771008,0.771008,0.304717","0.868890,0.772704,0.190229"
M1_two_anchor_linear,burgers,weight_balanced_v2,rel_l2,"safe_obs64_noise005,failure_obs32_noise0175","0.024670,0.036383","0.024517,0.085264"
M2_three_anchor_piecewise,burgers,weight_balanced_v2,rel_l2,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.024670,0.024318,0.036383","0.024517,0.035738,0.085264"
M3_order_constrained_piecewise,burgers,weight_balanced_v2,rel_l2,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.024494,0.024494,0.036383","0.024517,0.035738,0.085264"
M4_rel2_constrained_R,burgers,weight_balanced_v2,rel_l2,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.024494,0.024494,0.036383","0.024517,0.035738,0.085264"
M1_two_anchor_linear,burgers,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise005,failure_obs32_noise0175","0.942620,0.863922","0.868890,0.190229"
M2_three_anchor_piecewise,burgers,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.942620,0.939246,0.863922","0.868890,0.772704,0.190229"
M3_order_constrained_piecewise,burgers,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.942620,0.939246,0.863922","0.868890,0.772704,0.190229"
M4_rel2_constrained_R,burgers,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise005,transition_obs48_noise010,failure_obs32_noise0175","0.942620,0.939246,0.863922","0.868890,0.772704,0.190229"
M1_two_anchor_linear,fisher_kpp,baseline,rel_l2,,,
M2_three_anchor_piecewise,fisher_kpp,baseline,rel_l2,,,
M3_order_constrained_piecewise,fisher_kpp,baseline,rel_l2,,,
M4_rel2_constrained_R,fisher_kpp,baseline,rel_l2,,,
M1_two_anchor_linear,fisher_kpp,baseline,reliability_raw_recal,,,
M2_three_anchor_piecewise,fisher_kpp,baseline,reliability_raw_recal,,,
M3_order_constrained_piecewise,fisher_kpp,baseline,reliability_raw_recal,,,
M4_rel2_constrained_R,fisher_kpp,baseline,reliability_raw_recal,,,
M1_two_anchor_linear,fisher_kpp,capacity_v1,rel_l2,"safe_obs64_noise000,failure_obs16_noise030","0.010031,0.077124","0.013095,0.075438"
M2_three_anchor_piecewise,fisher_kpp,capacity_v1,rel_l2,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.010031,0.019239,0.077124","0.013095,0.021342,0.075438"
M3_order_constrained_piecewise,fisher_kpp,capacity_v1,rel_l2,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.010031,0.019239,0.077124","0.013095,0.021342,0.075438"
M4_rel2_constrained_R,fisher_kpp,capacity_v1,rel_l2,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.010031,0.019239,0.077124","0.013095,0.021342,0.075438"
M1_two_anchor_linear,fisher_kpp,capacity_v1,reliability_raw_recal,"safe_obs64_noise000,failure_obs16_noise030","0.954720,0.187989","0.906468,0.244702"
M2_three_anchor_piecewise,fisher_kpp,capacity_v1,reliability_raw_recal,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.954720,0.841227,0.187989","0.906468,0.845303,0.244702"
M3_order_constrained_piecewise,fisher_kpp,capacity_v1,reliability_raw_recal,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.954720,0.841227,0.187989","0.906468,0.845303,0.244702"
M4_rel2_constrained_R,fisher_kpp,capacity_v1,reliability_raw_recal,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.954720,0.841227,0.187989","0.906468,0.845303,0.244702"
M1_two_anchor_linear,fisher_kpp,weight_balanced_v2,rel_l2,"safe_obs64_noise000,failure_obs16_noise030","0.016401,0.045924","0.013095,0.075438"
M2_three_anchor_piecewise,fisher_kpp,weight_balanced_v2,rel_l2,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.016401,0.018901,0.045924","0.013095,0.021342,0.075438"
M3_order_constrained_piecewise,fisher_kpp,weight_balanced_v2,rel_l2,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.016401,0.018901,0.045924","0.013095,0.021342,0.075438"
M4_rel2_constrained_R,fisher_kpp,weight_balanced_v2,rel_l2,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.016401,0.018901,0.045924","0.013095,0.021342,0.075438"
M1_two_anchor_linear,fisher_kpp,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise000,failure_obs16_noise030","0.846964,0.529772","0.906468,0.244702"
M2_three_anchor_piecewise,fisher_kpp,weight_balanced_v2,reliability_raw_recal,"safe_obs64_noise000,transition_obs128_noise020,failure_obs16_noise030","0.846964,0.829928,0.529772","0.906468,0.845303,0.244702"
