method,case,variant,n_run,n_point,n_eval_point,run_rel_label_accuracy,run_r_label_accuracy,eval_point_rel_label_accuracy,eval_point_r_label_accuracy,severity_rho_rel_l2,severity_rho_neg_R
M0_raw,burgers,baseline,12,4,4,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0
M1_two_anchor_linear,burgers,baseline,12,4,2,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0
M2_three_anchor_piecewise,burgers,baseline,12,4,1,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0
M3_order_constrained_piecewise,burgers,baseline,12,4,4,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0
M4_rel2_constrained_R,burgers,baseline,12,4,4,0.8333333333333334,0.75,1.0,1.0,1.0,1.0
M0_raw,burgers,capacity_v1,12,4,4,0.8333333333333334,0.4166666666666667,0.75,0.5,0.7999999999999999,0.39999999999999997
M1_two_anchor_linear,burgers,capacity_v1,12,4,2,0.75,0.4166666666666667,0.5,0.0,0.7999999999999999,0.19999999999999998
M2_three_anchor_piecewise,burgers,capacity_v1,12,4,1,0.75,0.5,1.0,0.0,0.19999999999999998,0.19999999999999998
M3_order_constrained_piecewise,burgers,capacity_v1,12,4,4,0.75,0.25,0.75,0.25,0.7999999999999999,0.39999999999999997
M4_rel2_constrained_R,burgers,capacity_v1,12,4,4,0.75,0.3333333333333333,0.75,0.25,0.7999999999999999,0.39999999999999997
M0_raw,burgers,weight_balanced_v2,12,4,4,0.6666666666666666,0.08333333333333333,0.75,0.0,0.6000000000000001,0.7999999999999999
M1_two_anchor_linear,burgers,weight_balanced_v2,12,4,2,0.75,0.5833333333333334,0.5,0.5,0.6000000000000001,1.0
M2_three_anchor_piecewise,burgers,weight_balanced_v2,12,4,1,0.75,0.5,1.0,1.0,0.0,0.7999999999999999
M3_order_constrained_piecewise,burgers,weight_balanced_v2,12,4,4,0.8333333333333334,0.5,1.0,0.75,0.6000000000000001,0.7999999999999999
M4_rel2_constrained_R,burgers,weight_balanced_v2,12,4,4,0.8333333333333334,0.5833333333333334,1.0,0.75,0.6000000000000001,0.7999999999999999
M0_raw,fisher_kpp,baseline,12,4,4,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0
M1_two_anchor_linear,fisher_kpp,baseline,12,4,2,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0
M2_three_anchor_piecewise,fisher_kpp,baseline,12,4,1,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0
M3_order_constrained_piecewise,fisher_kpp,baseline,12,4,4,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0
M4_rel2_constrained_R,fisher_kpp,baseline,12,4,4,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,0.7999999999999999
M0_raw,fisher_kpp,capacity_v1,12,4,4,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,1.0
M1_two_anchor_linear,fisher_kpp,capacity_v1,12,4,2,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0
M2_three_anchor_piecewise,fisher_kpp,capacity_v1,12,4,1,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0
M3_order_constrained_piecewise,fisher_kpp,capacity_v1,12,4,4,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0
M4_rel2_constrained_R,fisher_kpp,capacity_v1,12,4,4,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0
M0_raw,fisher_kpp,weight_balanced_v2,12,4,4,0.75,0.6666666666666666,0.75,0.75,1.0,1.0
M1_two_anchor_linear,fisher_kpp,weight_balanced_v2,12,4,2,0.75,0.5833333333333334,0.5,0.5,1.0,0.7999999999999999
M2_three_anchor_piecewise,fisher_kpp,weight_balanced_v2,12,4,1,0.75,0.5833333333333334,0.0,1.0,1.0,0.7999999999999999
M3_order_constrained_piecewise,fisher_kpp,weight_balanced_v2,12,4,4,0.75,0.5833333333333334,0.75,0.5,1.0,0.7999999999999999
M4_rel2_constrained_R,fisher_kpp,weight_balanced_v2,12,4,4,0.75,0.5833333333333334,0.75,0.5,1.0,1.0
M0_raw,stokes_poiseuille,baseline,9,3,3,0.8888888888888888,0.6666666666666666,1.0,1.0,1.0,1.0
M1_two_anchor_linear,stokes_poiseuille,baseline,9,3,1,0.8888888888888888,0.6666666666666666,1.0,1.0,1.0,1.0
M2_three_anchor_piecewise,stokes_poiseuille,baseline,9,3,3,0.8888888888888888,0.6666666666666666,1.0,1.0,1.0,1.0
M3_order_constrained_piecewise,stokes_poiseuille,baseline,9,3,3,0.8888888888888888,0.6666666666666666,1.0,1.0,1.0,1.0
M4_rel2_constrained_R,stokes_poiseuille,baseline,9,3,3,0.8888888888888888,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0
M0_raw,stokes_poiseuille,capacity_v1,9,3,3,0.6666666666666666,0.7777777777777778,0.6666666666666666,1.0,1.0,1.0
M1_two_anchor_linear,stokes_poiseuille,capacity_v1,9,3,1,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0
M2_three_anchor_piecewise,stokes_poiseuille,capacity_v1,9,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
M3_order_constrained_piecewise,stokes_poiseuille,capacity_v1,9,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
M4_rel2_constrained_R,stokes_poiseuille,capacity_v1,9,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
M0_raw,stokes_poiseuille,weight_balanced_v2,9,3,3,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.6666666666666666,1.0,1.0
M1_two_anchor_linear,stokes_poiseuille,weight_balanced_v2,9,3,1,0.7777777777777778,0.6666666666666666,1.0,1.0,1.0,1.0
M2_three_anchor_piecewise,stokes_poiseuille,weight_balanced_v2,9,3,3,0.7777777777777778,0.6666666666666666,1.0,1.0,1.0,1.0
M3_order_constrained_piecewise,stokes_poiseuille,weight_balanced_v2,9,3,3,0.7777777777777778,0.6666666666666666,1.0,1.0,1.0,1.0
M4_rel2_constrained_R,stokes_poiseuille,weight_balanced_v2,9,3,3,0.7777777777777778,0.4444444444444444,1.0,0.6666666666666666,1.0,1.0
