method,case,label,pred_rel_unique_count,pred_r_unique_count,pred_rel_disagreement,pred_r_disagreement
M0_raw,burgers,failure_obs32_noise0175,1,2,0,1
M1_two_anchor_linear,burgers,failure_obs32_noise0175,1,1,0,0
M2_three_anchor_piecewise,burgers,failure_obs32_noise0175,1,1,0,0
M3_order_constrained_piecewise,burgers,failure_obs32_noise0175,1,1,0,0
M4_rel2_constrained_R,burgers,failure_obs32_noise0175,1,1,0,0
M0_raw,burgers,safe_obs64_noise005,2,3,1,1
M1_two_anchor_linear,burgers,safe_obs64_noise005,1,2,0,1
M2_three_anchor_piecewise,burgers,safe_obs64_noise005,2,2,1,1
M3_order_constrained_piecewise,burgers,safe_obs64_noise005,1,2,0,1
M4_rel2_constrained_R,burgers,safe_obs64_noise005,1,2,0,1
M0_raw,burgers,seed_sensitive_obs32_noise010,1,2,0,1
M1_two_anchor_linear,burgers,seed_sensitive_obs32_noise010,1,2,0,1
M2_three_anchor_piecewise,burgers,seed_sensitive_obs32_noise010,1,2,0,1
M3_order_constrained_piecewise,burgers,seed_sensitive_obs32_noise010,1,2,0,1
M4_rel2_constrained_R,burgers,seed_sensitive_obs32_noise010,1,2,0,1
M0_raw,burgers,transition_obs48_noise010,2,2,1,1
M1_two_anchor_linear,burgers,transition_obs48_noise010,2,2,1,1
M2_three_anchor_piecewise,burgers,transition_obs48_noise010,1,2,0,1
M3_order_constrained_piecewise,burgers,transition_obs48_noise010,2,2,1,1
M4_rel2_constrained_R,burgers,transition_obs48_noise010,2,2,1,1
M0_raw,fisher_kpp,edge_obs16_noise005,2,2,1,1
M1_two_anchor_linear,fisher_kpp,edge_obs16_noise005,2,1,1,0
M2_three_anchor_piecewise,fisher_kpp,edge_obs16_noise005,2,1,1,0
M3_order_constrained_piecewise,fisher_kpp,edge_obs16_noise005,2,1,1,0
M4_rel2_constrained_R,fisher_kpp,edge_obs16_noise005,2,1,1,0
M0_raw,fisher_kpp,failure_obs16_noise030,1,1,0,0
M1_two_anchor_linear,fisher_kpp,failure_obs16_noise030,1,1,0,0
M2_three_anchor_piecewise,fisher_kpp,failure_obs16_noise030,1,1,0,0
M3_order_constrained_piecewise,fisher_kpp,failure_obs16_noise030,1,1,0,0
M4_rel2_constrained_R,fisher_kpp,failure_obs16_noise030,1,1,0,0
M0_raw,fisher_kpp,safe_obs64_noise000,1,2,0,1
M1_two_anchor_linear,fisher_kpp,safe_obs64_noise000,1,2,0,1
M2_three_anchor_piecewise,fisher_kpp,safe_obs64_noise000,1,2,0,1
M3_order_constrained_piecewise,fisher_kpp,safe_obs64_noise000,1,2,0,1
M4_rel2_constrained_R,fisher_kpp,safe_obs64_noise000,1,2,0,1
M0_raw,fisher_kpp,transition_obs128_noise020,1,1,0,0
M1_two_anchor_linear,fisher_kpp,transition_obs128_noise020,1,2,0,1
M2_three_anchor_piecewise,fisher_kpp,transition_obs128_noise020,1,2,0,1
M3_order_constrained_piecewise,fisher_kpp,transition_obs128_noise020,1,2,0,1
M4_rel2_constrained_R,fisher_kpp,transition_obs128_noise020,1,2,0,1
M0_raw,stokes_poiseuille,critical_obs8_noise0125,2,1,1,0
M1_two_anchor_linear,stokes_poiseuille,critical_obs8_noise0125,2,2,1,1
M2_three_anchor_piecewise,stokes_poiseuille,critical_obs8_noise0125,2,2,1,1
M3_order_constrained_piecewise,stokes_poiseuille,critical_obs8_noise0125,2,2,1,1
M4_rel2_constrained_R,stokes_poiseuille,critical_obs8_noise0125,2,1,1,0
M0_raw,stokes_poiseuille,failure_obs8_noise0175,2,2,1,1
M1_two_anchor_linear,stokes_poiseuille,failure_obs8_noise0175,1,1,0,0
M2_three_anchor_piecewise,stokes_poiseuille,failure_obs8_noise0175,1,1,0,0
M3_order_constrained_piecewise,stokes_poiseuille,failure_obs8_noise0175,1,1,0,0
M4_rel2_constrained_R,stokes_poiseuille,failure_obs8_noise0175,1,1,0,0
M0_raw,stokes_poiseuille,safe_obs64_noise000,1,1,0,0
M1_two_anchor_linear,stokes_poiseuille,safe_obs64_noise000,1,1,0,0
M2_three_anchor_piecewise,stokes_poiseuille,safe_obs64_noise000,1,1,0,0
M3_order_constrained_piecewise,stokes_poiseuille,safe_obs64_noise000,1,1,0,0
M4_rel2_constrained_R,stokes_poiseuille,safe_obs64_noise000,1,1,0,0
