rule,n_selected,single_low_count,double_or_more_count,triple_or_more_count,double_or_more_share
count_below_0.3,59,9.0,7,7.0,0.11864406779661017
count_below_0.4,59,12.0,11,9.0,0.1864406779661017
count_below_0.5,59,12.0,14,10.0,0.23728813559322035
top2_gap_le_0.03,59,,11,,0.1864406779661017
top2_gap_le_0.03:numerical_accuracy+physics_consistency,59,,3,,0.05084745762711865
top2_gap_le_0.03:numerical_accuracy+structural_stability,59,,6,,0.1016949152542373
top2_gap_le_0.03:structural_stability+training_stability,59,,2,,0.03389830508474576
top2_gap_le_0.05,59,,18,,0.3050847457627119
top2_gap_le_0.05:numerical_accuracy+physics_consistency,59,,3,,0.05084745762711865
top2_gap_le_0.05:numerical_accuracy+structural_stability,59,,11,,0.1864406779661017
top2_gap_le_0.05:numerical_accuracy+training_stability,59,,2,,0.03389830508474576
top2_gap_le_0.05:structural_stability+training_stability,59,,2,,0.03389830508474576
top2_gap_le_0.10,59,,30,,0.5084745762711864
top2_gap_le_0.10:numerical_accuracy+physics_consistency,59,,7,,0.11864406779661017
top2_gap_le_0.10:numerical_accuracy+structural_stability,59,,14,,0.23728813559322035
top2_gap_le_0.10:numerical_accuracy+training_stability,59,,4,,0.06779661016949153
top2_gap_le_0.10:physics_consistency+structural_stability,59,,1,,0.01694915254237288
top2_gap_le_0.10:physics_consistency+training_stability,59,,2,,0.03389830508474576
top2_gap_le_0.10:structural_stability+training_stability,59,,2,,0.03389830508474576
