method,case,task,label,pred_unique_count,boundary_disagreement
L0_rel2_midpoint,burgers,failure_boundary,failure_obs32_noise0175,1,0
L1_pair_prototype_2d,burgers,failure_boundary,failure_obs32_noise0175,1,0
L2_pair_prototype_3d,burgers,failure_boundary,failure_obs32_noise0175,2,1
REF_P1_global_partition,burgers,failure_boundary,failure_obs32_noise0175,1,0
L0_rel2_midpoint,burgers,failure_boundary,safe_obs64_noise005,1,0
L1_pair_prototype_2d,burgers,failure_boundary,safe_obs64_noise005,1,0
L2_pair_prototype_3d,burgers,failure_boundary,safe_obs64_noise005,1,0
REF_P1_global_partition,burgers,failure_boundary,safe_obs64_noise005,1,0
L0_rel2_midpoint,burgers,failure_boundary,seed_sensitive_obs32_noise010,2,1
L1_pair_prototype_2d,burgers,failure_boundary,seed_sensitive_obs32_noise010,2,1
L2_pair_prototype_3d,burgers,failure_boundary,seed_sensitive_obs32_noise010,1,0
REF_P1_global_partition,burgers,failure_boundary,seed_sensitive_obs32_noise010,2,1
L0_rel2_midpoint,burgers,failure_boundary,transition_obs48_noise010,1,0
L1_pair_prototype_2d,burgers,failure_boundary,transition_obs48_noise010,1,0
L2_pair_prototype_3d,burgers,failure_boundary,transition_obs48_noise010,1,0
REF_P1_global_partition,burgers,failure_boundary,transition_obs48_noise010,1,0
L0_rel2_midpoint,burgers,safe_boundary,failure_obs32_noise0175,1,0
L1_pair_prototype_2d,burgers,safe_boundary,failure_obs32_noise0175,1,0
L2_pair_prototype_3d,burgers,safe_boundary,failure_obs32_noise0175,1,0
REF_P1_global_partition,burgers,safe_boundary,failure_obs32_noise0175,1,0
L0_rel2_midpoint,burgers,safe_boundary,safe_obs64_noise005,1,0
L1_pair_prototype_2d,burgers,safe_boundary,safe_obs64_noise005,2,1
L2_pair_prototype_3d,burgers,safe_boundary,safe_obs64_noise005,2,1
REF_P1_global_partition,burgers,safe_boundary,safe_obs64_noise005,2,1
L0_rel2_midpoint,burgers,safe_boundary,seed_sensitive_obs32_noise010,1,0
L1_pair_prototype_2d,burgers,safe_boundary,seed_sensitive_obs32_noise010,1,0
L2_pair_prototype_3d,burgers,safe_boundary,seed_sensitive_obs32_noise010,1,0
REF_P1_global_partition,burgers,safe_boundary,seed_sensitive_obs32_noise010,2,1
L0_rel2_midpoint,burgers,safe_boundary,transition_obs48_noise010,2,1
L1_pair_prototype_2d,burgers,safe_boundary,transition_obs48_noise010,2,1
L2_pair_prototype_3d,burgers,safe_boundary,transition_obs48_noise010,2,1
REF_P1_global_partition,burgers,safe_boundary,transition_obs48_noise010,2,1
L0_rel2_midpoint,stokes_poiseuille,failure_boundary,critical_obs8_noise0125,1,0
L1_pair_prototype_2d,stokes_poiseuille,failure_boundary,critical_obs8_noise0125,1,0
L2_pair_prototype_3d,stokes_poiseuille,failure_boundary,critical_obs8_noise0125,1,0
REF_P1_global_partition,stokes_poiseuille,failure_boundary,critical_obs8_noise0125,1,0
L0_rel2_midpoint,stokes_poiseuille,failure_boundary,failure_obs8_noise0175,1,0
L1_pair_prototype_2d,stokes_poiseuille,failure_boundary,failure_obs8_noise0175,1,0
L2_pair_prototype_3d,stokes_poiseuille,failure_boundary,failure_obs8_noise0175,2,1
REF_P1_global_partition,stokes_poiseuille,failure_boundary,failure_obs8_noise0175,1,0
L0_rel2_midpoint,stokes_poiseuille,failure_boundary,safe_obs64_noise000,1,0
L1_pair_prototype_2d,stokes_poiseuille,failure_boundary,safe_obs64_noise000,1,0
L2_pair_prototype_3d,stokes_poiseuille,failure_boundary,safe_obs64_noise000,1,0
REF_P1_global_partition,stokes_poiseuille,failure_boundary,safe_obs64_noise000,1,0
L0_rel2_midpoint,stokes_poiseuille,safe_boundary,critical_obs8_noise0125,1,0
L1_pair_prototype_2d,stokes_poiseuille,safe_boundary,critical_obs8_noise0125,1,0
L2_pair_prototype_3d,stokes_poiseuille,safe_boundary,critical_obs8_noise0125,1,0
REF_P1_global_partition,stokes_poiseuille,safe_boundary,critical_obs8_noise0125,1,0
L0_rel2_midpoint,stokes_poiseuille,safe_boundary,failure_obs8_noise0175,1,0
L1_pair_prototype_2d,stokes_poiseuille,safe_boundary,failure_obs8_noise0175,1,0
L2_pair_prototype_3d,stokes_poiseuille,safe_boundary,failure_obs8_noise0175,1,0
REF_P1_global_partition,stokes_poiseuille,safe_boundary,failure_obs8_noise0175,1,0
L0_rel2_midpoint,stokes_poiseuille,safe_boundary,safe_obs64_noise000,1,0
L1_pair_prototype_2d,stokes_poiseuille,safe_boundary,safe_obs64_noise000,1,0
L2_pair_prototype_3d,stokes_poiseuille,safe_boundary,safe_obs64_noise000,1,0
REF_P1_global_partition,stokes_poiseuille,safe_boundary,safe_obs64_noise000,1,0
