method,case,task,variant,n_run,accuracy,f1
L0_rel2_midpoint,burgers,failure_boundary,baseline,12,0.16666666666666666,0.16666666666666666
L1_pair_prototype_2d,burgers,failure_boundary,baseline,12,0.8333333333333334,0.6666666666666666
L2_pair_prototype_3d,burgers,failure_boundary,baseline,12,0.9166666666666666,0.8571428571428571
REF_P1_global_partition,burgers,failure_boundary,baseline,12,0.9166666666666666,0.8571428571428571
L0_rel2_midpoint,burgers,failure_boundary,capacity_v1,12,0.16666666666666666,0.16666666666666666
L1_pair_prototype_2d,burgers,failure_boundary,capacity_v1,12,0.9166666666666666,0.8
L2_pair_prototype_3d,burgers,failure_boundary,capacity_v1,12,0.8333333333333334,0.5
REF_P1_global_partition,burgers,failure_boundary,capacity_v1,12,1.0,1.0
L0_rel2_midpoint,burgers,failure_boundary,weight_balanced_v2,12,0.16666666666666666,0.0
L1_pair_prototype_2d,burgers,failure_boundary,weight_balanced_v2,12,0.75,0.5714285714285715
L2_pair_prototype_3d,burgers,failure_boundary,weight_balanced_v2,12,0.75,0.4
REF_P1_global_partition,burgers,failure_boundary,weight_balanced_v2,12,0.8333333333333334,0.7499999999999999
L0_rel2_midpoint,burgers,safe_boundary,baseline,12,0.9166666666666666,0.8571428571428571
L1_pair_prototype_2d,burgers,safe_boundary,baseline,12,0.8333333333333334,0.7499999999999999
L2_pair_prototype_3d,burgers,safe_boundary,baseline,12,0.8333333333333334,0.7499999999999999
REF_P1_global_partition,burgers,safe_boundary,baseline,12,0.8333333333333334,0.6666666666666666
L0_rel2_midpoint,burgers,safe_boundary,capacity_v1,12,0.75,0.5714285714285715
L1_pair_prototype_2d,burgers,safe_boundary,capacity_v1,12,0.5833333333333334,0.28571428571428575
L2_pair_prototype_3d,burgers,safe_boundary,capacity_v1,12,0.5833333333333334,0.28571428571428575
REF_P1_global_partition,burgers,safe_boundary,capacity_v1,12,0.5,0.25
L0_rel2_midpoint,burgers,safe_boundary,weight_balanced_v2,12,0.75,0.5714285714285715
L1_pair_prototype_2d,burgers,safe_boundary,weight_balanced_v2,12,0.6666666666666666,0.3333333333333333
L2_pair_prototype_3d,burgers,safe_boundary,weight_balanced_v2,12,0.6666666666666666,0.3333333333333333
REF_P1_global_partition,burgers,safe_boundary,weight_balanced_v2,12,0.6666666666666666,0.3333333333333333
L0_rel2_midpoint,stokes_poiseuille,failure_boundary,baseline,9,0.0,0.0
L1_pair_prototype_2d,stokes_poiseuille,failure_boundary,baseline,9,0.8888888888888888,0.8
L2_pair_prototype_3d,stokes_poiseuille,failure_boundary,baseline,9,0.8888888888888888,0.8
REF_P1_global_partition,stokes_poiseuille,failure_boundary,baseline,9,0.8888888888888888,0.8
L0_rel2_midpoint,stokes_poiseuille,failure_boundary,capacity_v1,9,0.0,0.0
L1_pair_prototype_2d,stokes_poiseuille,failure_boundary,capacity_v1,9,1.0,1.0
L2_pair_prototype_3d,stokes_poiseuille,failure_boundary,capacity_v1,9,0.7777777777777778,0.5
REF_P1_global_partition,stokes_poiseuille,failure_boundary,capacity_v1,9,1.0,1.0
L0_rel2_midpoint,stokes_poiseuille,failure_boundary,weight_balanced_v2,9,0.2222222222222222,0.2222222222222222
L1_pair_prototype_2d,stokes_poiseuille,failure_boundary,weight_balanced_v2,9,0.7777777777777778,0.6666666666666666
L2_pair_prototype_3d,stokes_poiseuille,failure_boundary,weight_balanced_v2,9,0.7777777777777778,0.5
REF_P1_global_partition,stokes_poiseuille,failure_boundary,weight_balanced_v2,9,0.7777777777777778,0.6666666666666666
L0_rel2_midpoint,stokes_poiseuille,safe_boundary,baseline,9,1.0,1.0
L1_pair_prototype_2d,stokes_poiseuille,safe_boundary,baseline,9,1.0,1.0
L2_pair_prototype_3d,stokes_poiseuille,safe_boundary,baseline,9,1.0,1.0
REF_P1_global_partition,stokes_poiseuille,safe_boundary,baseline,9,0.8888888888888888,0.8571428571428571
L0_rel2_midpoint,stokes_poiseuille,safe_boundary,capacity_v1,9,1.0,1.0
L1_pair_prototype_2d,stokes_poiseuille,safe_boundary,capacity_v1,9,1.0,1.0
L2_pair_prototype_3d,stokes_poiseuille,safe_boundary,capacity_v1,9,1.0,1.0
REF_P1_global_partition,stokes_poiseuille,safe_boundary,capacity_v1,9,1.0,1.0
L0_rel2_midpoint,stokes_poiseuille,safe_boundary,weight_balanced_v2,9,0.8888888888888888,0.8571428571428571
L1_pair_prototype_2d,stokes_poiseuille,safe_boundary,weight_balanced_v2,9,0.8888888888888888,0.8571428571428571
L2_pair_prototype_3d,stokes_poiseuille,safe_boundary,weight_balanced_v2,9,0.8888888888888888,0.8571428571428571
REF_P1_global_partition,stokes_poiseuille,safe_boundary,weight_balanced_v2,9,0.8888888888888888,0.8571428571428571
