method,case,variant,tau_high,tau_low,anchor_reliable,anchor_critical,anchor_unreliable
P0_fixed_cutoffs,burgers,baseline,0.9,0.7,,,
P1_anchor_mean_midpoint,burgers,baseline,0.8207968469350454,0.481466116179935,0.8688900807798586,0.7727036130902322,0.19022861926963788
P2_anchor_median_midpoint,burgers,baseline,0.830061060026401,0.4880431589193862,0.8846760366984974,0.7754460833543046,0.2006402344844678
P0_fixed_cutoffs,burgers,capacity_v1,0.9,0.7,,,
P1_anchor_mean_midpoint,burgers,capacity_v1,0.8118186926490812,0.5011583523195102,0.8118186926490812,0.8118186926490812,0.1904980119899392
P2_anchor_median_midpoint,burgers,capacity_v1,0.8295733474123851,0.5229023270381112,0.8295733474123851,0.8295733474123851,0.2162313066638373
P0_fixed_cutoffs,burgers,weight_balanced_v2,0.9,0.7,,,
P1_anchor_mean_midpoint,burgers,weight_balanced_v2,0.8538707790500524,0.5572914032461016,0.8538707790500524,0.8538707790500524,0.2607120274421508
P2_anchor_median_midpoint,burgers,weight_balanced_v2,0.9018359070272323,0.6335677039639156,0.9018359070272323,0.9018359070272323,0.3652995009005989
P0_fixed_cutoffs,stokes_poiseuille,baseline,0.9,0.7,,,
P1_anchor_mean_midpoint,stokes_poiseuille,baseline,0.8801939476333536,0.6859890856345181,0.9671104753264249,0.7932774199402823,0.5787007513287539
P2_anchor_median_midpoint,stokes_poiseuille,baseline,0.8785507934261116,0.6485696645493264,0.985109923146982,0.7719916637052413,0.5251476653934115
P0_fixed_cutoffs,stokes_poiseuille,capacity_v1,0.9,0.7,,,
P1_anchor_mean_midpoint,stokes_poiseuille,capacity_v1,0.8834491906622932,0.6892443286634578,0.9671104753264247,0.7997879059981617,0.5787007513287538
P2_anchor_median_midpoint,stokes_poiseuille,capacity_v1,0.8862380350223288,0.6784255956905054,0.9670836683473888,0.8053924016972688,0.5514587896837422
P0_fixed_cutoffs,stokes_poiseuille,weight_balanced_v2,0.9,0.7,,,
P1_anchor_mean_midpoint,stokes_poiseuille,weight_balanced_v2,0.8730435406580377,0.6769606187186588,0.9654587028413611,0.7806283784747143,0.5732928589626033
P2_anchor_median_midpoint,stokes_poiseuille,weight_balanced_v2,0.8675701214805538,0.6778242252528228,0.9536897009574848,0.7814505420036227,0.5741979085020228
