method,case,label,pred_partition_unique_count,pred_partition_disagreement
P0_fixed_cutoffs,burgers,failure_obs32_noise0175,1,0
P1_anchor_mean_midpoint,burgers,failure_obs32_noise0175,1,0
P2_anchor_median_midpoint,burgers,failure_obs32_noise0175,1,0
P0_fixed_cutoffs,burgers,safe_obs64_noise005,2,1
P1_anchor_mean_midpoint,burgers,safe_obs64_noise005,2,1
P2_anchor_median_midpoint,burgers,safe_obs64_noise005,2,1
P0_fixed_cutoffs,burgers,seed_sensitive_obs32_noise010,2,1
P1_anchor_mean_midpoint,burgers,seed_sensitive_obs32_noise010,3,1
P2_anchor_median_midpoint,burgers,seed_sensitive_obs32_noise010,3,1
P0_fixed_cutoffs,burgers,transition_obs48_noise010,2,1
P1_anchor_mean_midpoint,burgers,transition_obs48_noise010,2,1
P2_anchor_median_midpoint,burgers,transition_obs48_noise010,2,1
P0_fixed_cutoffs,stokes_poiseuille,critical_obs8_noise0125,2,1
P1_anchor_mean_midpoint,stokes_poiseuille,critical_obs8_noise0125,2,1
P2_anchor_median_midpoint,stokes_poiseuille,critical_obs8_noise0125,2,1
P0_fixed_cutoffs,stokes_poiseuille,failure_obs8_noise0175,1,0
P1_anchor_mean_midpoint,stokes_poiseuille,failure_obs8_noise0175,1,0
P2_anchor_median_midpoint,stokes_poiseuille,failure_obs8_noise0175,1,0
P0_fixed_cutoffs,stokes_poiseuille,safe_obs64_noise000,1,0
P1_anchor_mean_midpoint,stokes_poiseuille,safe_obs64_noise000,1,0
P2_anchor_median_midpoint,stokes_poiseuille,safe_obs64_noise000,1,0
