method,case,variant,run_accuracy,macro_f1,tau_high,tau_low
P0_fixed_cutoffs,burgers,baseline,0.5833333333333334,0.5651515151515151,0.9,0.7
P1_anchor_mean_midpoint,burgers,baseline,0.75,0.7503607503607502,0.8207968469350454,0.481466116179935
P2_anchor_median_midpoint,burgers,baseline,0.75,0.7503607503607502,0.830061060026401,0.4880431589193862
P0_fixed_cutoffs,burgers,capacity_v1,0.4166666666666667,0.40079365079365076,0.9,0.7
P1_anchor_mean_midpoint,burgers,capacity_v1,0.5,0.5499999999999999,0.8118186926490812,0.5011583523195102
P2_anchor_median_midpoint,burgers,capacity_v1,0.5,0.5499999999999999,0.8295733474123851,0.5229023270381112
P0_fixed_cutoffs,burgers,weight_balanced_v2,0.4166666666666667,0.3944444444444444,0.9,0.7
P1_anchor_mean_midpoint,burgers,weight_balanced_v2,0.5,0.49444444444444446,0.8538707790500524,0.5572914032461016
P2_anchor_median_midpoint,burgers,weight_balanced_v2,0.4166666666666667,0.40740740740740744,0.9018359070272323,0.6335677039639156
P0_fixed_cutoffs,stokes_poiseuille,baseline,0.6666666666666666,0.6412698412698412,0.9,0.7
P1_anchor_mean_midpoint,stokes_poiseuille,baseline,0.7777777777777778,0.7746031746031745,0.8801939476333536,0.6859890856345181
P2_anchor_median_midpoint,stokes_poiseuille,baseline,0.7777777777777778,0.7746031746031745,0.8785507934261116,0.6485696645493264
P0_fixed_cutoffs,stokes_poiseuille,capacity_v1,1.0,1.0,0.9,0.7
P1_anchor_mean_midpoint,stokes_poiseuille,capacity_v1,1.0,1.0,0.8834491906622932,0.6892443286634578
P2_anchor_median_midpoint,stokes_poiseuille,capacity_v1,1.0,1.0,0.8862380350223288,0.6784255956905054
P0_fixed_cutoffs,stokes_poiseuille,weight_balanced_v2,0.6666666666666666,0.6412698412698412,0.9,0.7
P1_anchor_mean_midpoint,stokes_poiseuille,weight_balanced_v2,0.6666666666666666,0.6412698412698412,0.8730435406580377,0.6769606187186588
P2_anchor_median_midpoint,stokes_poiseuille,weight_balanced_v2,0.6666666666666666,0.6412698412698412,0.8675701214805538,0.6778242252528228
