matrix_name,case,num_observation,noise_std,observation_ratio,run_name,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error,loss_std,loss_ratio,physics_consistency,training_stability,numerical_accuracy,structural_stability,threshold_rel_l2,physics_consistency_recal,training_stability_recal,numerical_accuracy_recal,structural_stability_recal,reliability_raw_recal
refine_stokes_v1,stokes_poiseuille,64,0.0,1.0,stokes_poiseuille_refine_stokes_v1_obs64_noise000,0.0266928896307945,0.8606852987076161,0.113922007381916,0.0268516205251216,5.412101745605469e-05,0.0007886169726295,0.0012088050461076,0.597797135595992,0.9519298702038752,0.9361804382334304,0.9568337507971668,0.0400393344461917,0.9289769683737105,0.948178802464145,0.9421428061390774,0.8613637480444684,0.9201655812553503
refine_stokes_v1,stokes_poiseuille,32,0.0,0.5,stokes_poiseuille_refine_stokes_v1_obs32_noise000,0.0252566020935773,0.8611141055961961,0.1142373532056808,0.0246029701083898,3.921985626220703e-05,0.0007778061286359,0.0010687770024838,0.5980844361466714,0.952031247814724,0.9374974507959212,0.9568432876274678,0.0400393344461917,0.9472712839513965,0.9574231704115779,0.957483103823141,0.9496823822459718,0.9529649851080219
refine_stokes_v1,stokes_poiseuille,24,0.0,0.375,stokes_poiseuille_refine_stokes_v1_obs24_noise000,0.026436973363161,0.8592681157334441,0.1149731948971748,0.0267535485327243,4.839897155761719e-05,0.0008312735239889,0.0011119086021443,0.5922507152175833,0.9515673538829142,0.9364169806552904,0.9568374131779882,0.0400393344461917,0.9197244439480439,0.9223478619400483,0.9452125973747448,0.9049373142126051,0.9230555543688606
refine_stokes_v1,stokes_poiseuille,16,0.0,0.25,stokes_poiseuille_refine_stokes_v1_obs16_noise000,0.029774434864521,0.8585358076556335,0.1147735640406608,0.0285721756517887,4.976987838745117e-05,0.0007354579628318,0.0011438478279222,0.591652364884545,0.9523872130663784,0.9332671169119992,0.956836535759612,0.0400393344461917,0.8869852179694885,0.9668762583707571,0.8903724586095508,0.8957721875963082,0.9100015306365262
refine_stokes_v1,stokes_poiseuille,12,0.0,0.1875,stokes_poiseuille_refine_stokes_v1_obs12_noise000,0.0303847882896661,0.8553892002831258,0.1166161820292472,0.0293406527489423,5.8710575103759766e-05,0.0008964304031822,0.0011254435688108,0.5810549963628466,0.9509953770556702,0.9326756146658896,0.9568308130480968,0.0400393344461917,0.8408090756585548,0.8231524016307314,0.8761829768945845,0.815242534421352,0.8388467471513057
refine_stokes_v1,stokes_poiseuille,10,0.0,0.15625,stokes_poiseuille_refine_stokes_v1_obs10_noise000,0.0281972624361515,0.8577934996085439,0.1157636120915412,0.0264557264745235,4.0650367736816406e-05,0.0008630698494685,0.0010924893221785,0.5882672337248237,0.9512910926812068,0.9347732998490762,0.956842372179069,0.0400393344461917,0.9135751588593769,0.8849858322484977,0.9206040038465314,0.9443337627473462,0.915874689425438
refine_stokes_v1,stokes_poiseuille,8,0.0,0.125,stokes_poiseuille_refine_stokes_v1_obs8_noise000,0.0271353758871555,0.8628308597519977,0.1123789846897125,0.0256917532533407,3.069639205932617e-05,0.0008257696732966,0.0010584982082097,0.607086742691715,0.9516184401287268,0.935769514397745,0.9568487417898036,0.0400393344461917,0.953772049819656,0.9288655595426412,0.936451375301934,0.9727036561615656,0.9479481602064492
refine_stokes_v1,stokes_poiseuille,6,0.0,0.09375,stokes_poiseuille_refine_stokes_v1_obs6_noise000,0.0310354251414537,0.840602163470792,0.1275539994239807,0.0277572087943553,8.26120376586914e-05,0.0009863456684011,0.0012665237995093,0.5233715663131804,0.9501818576370642,0.9320397191577868,0.956815510775136,0.0400393344461917,0.46822908569681587,0.5503259063903274,0.8593492282053038,0.42610094869965404,0.5760012922480252
refine_stokes_v1,stokes_poiseuille,64,0.05,1.0,stokes_poiseuille_refine_stokes_v1_obs64_noise005,0.0263098925352096,0.8614030174068211,0.1135136485099792,0.0264145899564027,4.7087669372558594e-05,0.0007952219711084,0.0013749239208595,0.6003768659209733,0.9518628141761336,0.9365341370983752,0.9568382524318024,0.0400393344461917,0.9381475518565696,0.9381645244632053,0.9466793524302407,0.9130221575200935,0.9340033965675273
refine_stokes_v1,stokes_poiseuille,32,0.05,0.5,stokes_poiseuille_refine_stokes_v1_obs32_noise005,0.0246232524514198,0.8622598083839136,0.1134901195764541,0.0244947001338005,4.00543212890625e-05,0.0007878448864978,0.001199169980445,0.6021892734646517,0.9519370968449956,0.9380701096078518,0.9568427536181554,0.0400393344461917,0.9545785871801297,0.948884756693721,0.9629373571571531,0.9466244776717677,0.9532562946756928
