case,multiplier,baseline_rel_l2,threshold_rel_l2,n_cross,n_total,cross_rate
poisson,1.25,0.1138522550463676,0.1423153188079595,0,30,0.0
poisson,1.5,0.1138522550463676,0.1707783825695514,0,30,0.0
poisson,2.0,0.1138522550463676,0.2277045100927352,0,30,0.0
stokes_poiseuille,1.25,0.0256542172282934,0.03206777153536675,3,30,0.1
stokes_poiseuille,1.5,0.0256542172282934,0.0384813258424401,2,30,0.06666666666666667
stokes_poiseuille,2.0,0.0256542172282934,0.0513084344565868,1,30,0.03333333333333333
fisher_kpp,1.25,0.0125738466158509,0.015717308269813626,15,30,0.5
fisher_kpp,1.5,0.0125738466158509,0.01886076992377635,13,30,0.43333333333333335
fisher_kpp,2.0,0.0125738466158509,0.0251476932317018,9,30,0.3
burgers,1.25,0.0187921524047851,0.023490190505981376,19,30,0.6333333333333333
burgers,1.5,0.0187921524047851,0.02818822860717765,16,30,0.5333333333333333
burgers,2.0,0.0187921524047851,0.0375843048095702,13,30,0.43333333333333335
