case,label,abs_cross_span,relative_cross_span,r_unreliable_span,r_mean_span,abs_majority_unique_count,relative_majority_unique_count,r_majority_unique_count
burgers,failure_obs32_noise0175,0.0,0.0,1.0,0.6736933477222621,1,1,2
burgers,safe_obs64_noise005,0.3333333333333333,0.0,0.6666666666666666,0.22164223209243394,2,1,3
burgers,seed_sensitive_obs32_noise010,0.0,0.6666666666666667,0.6666666666666666,0.2871659255206075,1,2,2
burgers,transition_obs48_noise010,1.0,0.6666666666666666,0.3333333333333333,0.16654266628757863,2,2,2
fisher_kpp,edge_obs16_noise005,0.6666666666666666,0.6666666666666666,0.0,0.08799820231486521,2,2,2
fisher_kpp,failure_obs16_noise030,0.0,0.0,0.0,0.3417837171138782,1,1,1
fisher_kpp,safe_obs64_noise000,0.0,0.0,0.0,0.1077560653492643,1,1,2
fisher_kpp,transition_obs128_noise020,0.0,1.0,0.0,0.015374847044460571,1,2,1
poisson,degraded_obs8_noise020,0.0,0.0,0.3333333333333333,0.28906435866021896,1,1,2
poisson,safe_obs256_noise000,0.0,0.0,1.0,0.34619695086090646,1,1,2
stokes_poiseuille,critical_obs8_noise0125,0.6666666666666666,1.0,0.3333333333333333,0.12754216557738485,2,2,1
stokes_poiseuille,failure_obs8_noise0175,0.6666666666666667,1.0,0.6666666666666666,0.2800031602135985,2,2,2
stokes_poiseuille,safe_obs64_noise000,0.0,0.0,0.0,0.028699565055877563,1,1,1
