case,label,variant,n_seed,rel_l2_mean,rel_l2_std,r_mean,r_std,abs_cross_rate,relative_cross_rate,r_unreliable_rate,abs_majority,relative_majority,r_majority,variant_relative_threshold_rel_l2,absolute_threshold_rel_l2
burgers,failure_obs32_noise0175,baseline,3,0.08526438598831489,0.021454637254058842,0.19022861926963788,0.17206631062694516,1.0,1.0,1.0,cross,cross,unreliable,0.0259927008301019,0.0259927008301019
burgers,failure_obs32_noise0175,capacity_v1,3,0.06001209591825799,0.013598561967149802,0.3047166687190541,0.1327022366157577,1.0,1.0,1.0,cross,cross,unreliable,0.04121789578560401,0.0259927008301019
burgers,failure_obs32_noise0175,weight_balanced_v2,3,0.03638315324982,0.001998252604037685,0.8639219669918999,0.04510822934675599,1.0,1.0,0.0,cross,cross,critical,0.02615451895458433,0.0259927008301019
burgers,safe_obs64_noise005,baseline,3,0.02451713755726807,0.00415604103548816,0.8688900807798584,0.09140502211880304,0.3333333333333333,0.3333333333333333,0.0,safe,safe,critical,0.0259927008301019,0.0259927008301019
burgers,safe_obs64_noise005,capacity_v1,3,0.038878023003538396,0.020101974150638226,0.7209781923277685,0.19871350481585606,0.6666666666666666,0.3333333333333333,0.6666666666666666,cross,safe,unreliable,0.04121789578560401,0.0259927008301019
burgers,safe_obs64_noise005,weight_balanced_v2,3,0.024669769530494965,0.005596448715371518,0.9426204244202024,0.014516598306439569,0.3333333333333333,0.3333333333333333,0.0,safe,safe,reliable,0.02615451895458433,0.0259927008301019
burgers,seed_sensitive_obs32_noise010,baseline,3,0.05665655558307964,0.04234349242753468,0.5252905335603831,0.4307950899765309,1.0,1.0,0.6666666666666666,cross,cross,unreliable,0.0259927008301019,0.0259927008301019
burgers,seed_sensitive_obs32_noise010,capacity_v1,3,0.04278506711125374,0.0038195549501739315,0.8124564590809906,0.07508538150541351,1.0,0.3333333333333333,0.0,cross,safe,critical,0.04121789578560401,0.0259927008301019
burgers,seed_sensitive_obs32_noise010,weight_balanced_v2,3,0.046395444621642364,0.022698550501628747,0.7281824794196581,0.32562009740422265,1.0,1.0,0.3333333333333333,cross,cross,critical,0.02615451895458433,0.0259927008301019
burgers,transition_obs48_noise010,baseline,3,0.035737967739502566,0.011940363923265168,0.7727036130902322,0.009184376681120772,0.6666666666666666,0.6666666666666666,0.0,cross,cross,critical,0.0259927008301019,0.0259927008301019
burgers,transition_obs48_noise010,capacity_v1,3,0.03584818293650943,0.005320019299266185,0.8210376209820452,0.13225966646670206,1.0,0.3333333333333333,0.3333333333333333,cross,safe,critical,0.04121789578560401,0.0259927008301019
burgers,transition_obs48_noise010,weight_balanced_v2,3,0.024318355446060466,0.0011101826130057713,0.9392462793778108,0.016756008702067355,0.0,0.0,0.0,safe,safe,reliable,0.02615451895458433,0.0259927008301019
fisher_kpp,edge_obs16_noise005,baseline,3,0.019900674310823267,0.005624625889985919,0.8591512612293322,0.08554445434673145,0.6666666666666666,0.6666666666666666,0.0,cross,cross,critical,0.0188607699237763,0.0188607699237763
fisher_kpp,edge_obs16_noise005,capacity_v1,3,0.016054126744468933,0.003220092419806181,0.9335827974278056,0.022160824843998905,0.0,0.6666666666666666,0.0,safe,cross,reliable,0.014448185900576503,0.0188607699237763
fisher_kpp,edge_obs16_noise005,weight_balanced_v2,3,0.017489879081646568,0.004006103585996138,0.8455845951129404,0.0896197287518328,0.3333333333333333,0.0,0.0,safe,safe,critical,0.023623382295901905,0.0188607699237763
fisher_kpp,failure_obs16_noise030,baseline,3,0.07543784628311787,0.03422204010912383,0.24470200325933664,0.2589713313798146,1.0,1.0,1.0,cross,cross,unreliable,0.0188607699237763,0.0188607699237763
fisher_kpp,failure_obs16_noise030,capacity_v1,3,0.07712396606802936,0.03147967139417676,0.18798873802978233,0.263307909820659,1.0,1.0,1.0,cross,cross,unreliable,0.014448185900576503,0.0188607699237763
fisher_kpp,failure_obs16_noise030,weight_balanced_v2,3,0.04592402217288804,0.02029370519606276,0.5297724551436606,0.1428165680457133,1.0,1.0,1.0,cross,cross,unreliable,0.023623382295901905,0.0188607699237763
fisher_kpp,safe_obs64_noise000,baseline,3,0.013094793384273834,0.002280757992661744,0.9064679725884948,0.05047230923081756,0.0,0.0,0.0,safe,safe,reliable,0.0188607699237763,0.0188607699237763
fisher_kpp,safe_obs64_noise000,capacity_v1,3,0.010031192253033267,0.0010387700809488724,0.9547197289417418,0.006221357344601462,0.0,0.0,0.0,safe,safe,reliable,0.014448185900576503,0.0188607699237763
