case,variant,variant_safe_rel_l2_mean,absolute_threshold_rel_l2,baseline_safe_rel_l2_mean,relative_factor_vs_safe,variant_relative_threshold_rel_l2
burgers,baseline,0.02451713755726807,0.0259927008301019,0.02451713755726807,1.0601849734450914,0.0259927008301019
burgers,capacity_v1,0.038878023003538396,0.0259927008301019,0.02451713755726807,1.0601849734450914,0.04121789578560401
burgers,weight_balanced_v2,0.024669769530494965,0.0259927008301019,0.02451713755726807,1.0601849734450914,0.02615451895458433
fisher_kpp,baseline,0.013094793384273834,0.0188607699237763,0.013094793384273834,1.4403258890993351,0.0188607699237763
fisher_kpp,capacity_v1,0.010031192253033267,0.0188607699237763,0.013094793384273834,1.4403258890993351,0.014448185900576503
fisher_kpp,weight_balanced_v2,0.01640141475945703,0.0188607699237763,0.013094793384273834,1.4403258890993351,0.023623382295901905
poisson,baseline,0.114024077852567,0.1707783825695514,0.114024077852567,1.4977396510092162,0.1707783825695514
poisson,capacity_v1,0.10763836403687789,0.1707783825695514,0.114024077852567,1.4977396510092162,0.16121424578779647
poisson,weight_balanced_v2,0.12502086162567133,0.1707783825695514,0.114024077852567,1.4977396510092162,0.1872487016601045
stokes_poiseuille,baseline,0.02115721659113957,0.0400393344461917,0.02115721659113957,1.892467011136038,0.0400393344461917
stokes_poiseuille,capacity_v1,0.013599471809963334,0.0400393344461917,0.02115721659113957,1.892467011136038,0.025736551769230117
stokes_poiseuille,weight_balanced_v2,0.022835616643230066,0.0400393344461917,0.02115721659113957,1.892467011136038,0.04321565117626197
