case,k,rank_source,point_id,num_observation,noise_std,rel_l2,reliability_raw_recal,training_stability_recal,structural_stability_recal,set_relation
poisson,10,rel_l2_topk,obs64_noise200,64,0.2,0.1186216175556182,0.4916016659624109,0.6624908244282242,0.4614000059313956,overlap
poisson,10,rel_l2_topk,obs64_noise150,64,0.15,0.1171570718288421,0.5816696949522813,0.8179066715540484,0.5,overlap
poisson,10,rel_l2_topk,obs128_noise200,128,0.2,0.1167621314525604,0.5232825021462262,0.5109598637802039,0.4050964174681318,overlap
poisson,10,rel_l2_topk,obs32_noise200,32,0.2,0.1162043735384941,0.7500415859250769,0.8286655683373341,0.9208800373008444,rel_only
poisson,10,rel_l2_topk,obs128_noise150,128,0.15,0.1160626485943794,0.6443234757880756,0.7942045415700031,0.4524838350394634,overlap
poisson,10,rel_l2_topk,obs64_noise100,64,0.1,0.1158452481031417,0.6730096676234667,0.856971596364042,0.5421945261152749,overlap
poisson,10,rel_l2_topk,obs256_noise200,256,0.2,0.1154211461544036,0.5309708220724823,0.3100614340019314,0.4883989965997328,overlap
poisson,10,rel_l2_topk,obs128_noise100,128,0.1,0.1154077798128128,0.7130206798111134,0.875599094407976,0.5,rel_only
poisson,10,rel_l2_topk,obs8_noise000,8,0.0,0.1150391474366188,0.6802250358463515,0.5314677819464934,0.7787889564638538,overlap
poisson,10,rel_l2_topk,obs256_noise150,256,0.15,0.1149826571345329,0.6311583093825981,0.601740081858412,0.505863656254082,overlap
poisson,10,R_topk,obs64_noise200,64,0.2,0.1186216175556182,0.4916016659624109,0.6624908244282242,0.4614000059313956,overlap
poisson,10,R_topk,obs128_noise200,128,0.2,0.1167621314525604,0.5232825021462262,0.5109598637802039,0.4050964174681318,overlap
poisson,10,R_topk,obs256_noise200,256,0.2,0.1154211461544036,0.5309708220724823,0.3100614340019314,0.4883989965997328,overlap
poisson,10,R_topk,obs16_noise200,16,0.2,0.1131214424967765,0.5596921184800474,0.1788519493127136,0.991681915533265,R_only
poisson,10,R_topk,obs64_noise150,64,0.15,0.1171570718288421,0.5816696949522813,0.8179066715540484,0.5,overlap
poisson,10,R_topk,obs256_noise150,256,0.15,0.1149826571345329,0.6311583093825981,0.601740081858412,0.505863656254082,overlap
poisson,10,R_topk,obs8_noise200,8,0.2,0.1129124462604522,0.6399920029045301,0.4110049917830914,0.9865850899132412,R_only
poisson,10,R_topk,obs128_noise150,128,0.15,0.1160626485943794,0.6443234757880756,0.7942045415700031,0.4524838350394634,overlap
poisson,10,R_topk,obs64_noise100,64,0.1,0.1158452481031417,0.6730096676234667,0.856971596364042,0.5421945261152749,overlap
poisson,10,R_topk,obs8_noise000,8,0.0,0.1150391474366188,0.6802250358463515,0.5314677819464934,0.7787889564638538,overlap
poisson,20,rel_l2_topk,obs64_noise200,64,0.2,0.1186216175556182,0.4916016659624109,0.6624908244282242,0.4614000059313956,overlap
