case,k,n_total,overlap_count,rel_only_count,r_only_count,jaccard,mean_rel_l2_rel_only,mean_rel_l2_r_only,mean_R_rel_only,mean_R_r_only,mean_training_rel_only,mean_training_r_only,mean_structural_rel_only,mean_structural_r_only
poisson,10,30,8,2,2,0.6666666666666666,0.11580607667565346,0.11301694437861434,0.7315311328680951,0.5998420606922887,0.852132331372655,0.2949284705479025,0.7104400186504223,0.9891335027232531
poisson,20,30,15,5,5,0.6,0.11432849019765852,0.11311151981353754,0.8166414822089131,0.6665318387252812,0.9126256039289025,0.42223714686010405,0.709391790494202,0.977521438966017
poisson,30,30,30,0,0,1.0,,,,,,,,
stokes_poiseuille,10,56,8,2,2,0.6666666666666666,0.04018223844468585,0.0367837212979793,0.6278017849676758,0.5214280013883024,0.815192444724677,0.33050687040332893,0.8272186923547591,0.7114642556161795
stokes_poiseuille,20,56,16,4,4,0.6666666666666666,0.03368978481739755,0.029830251354724127,0.7683385811210497,0.613923919195516,0.713467619827264,0.611858809520381,0.8658174512613277,0.2462603506962175
stokes_poiseuille,30,56,27,3,3,0.8181818181818182,0.030512046068906767,0.028134604295094765,0.8945258997738835,0.7560087444160898,0.8936866783194849,0.8016497918513021,0.9339055500560178,0.4487373093078985
burgers,10,80,9,1,1,0.8181818181818182,0.0694000944495201,0.0563258007168769,0.5734562587676886,0.4025152191526149,0.9154883523252212,0.0490720544295266,0.6099412121269784,0.5679222631983416
burgers,20,80,18,2,2,0.8181818181818182,0.05801092088222495,0.0424750037491321,0.6998545195296135,0.6241616785739487,0.8610797443106826,0.1242601321095399,0.6658987968425842,0.865140241230677
burgers,30,80,26,4,4,0.7647058823529411,0.046559241600334624,0.03840284235775465,0.779387357846793,0.6861465872206556,0.7993944716695831,0.30342111542328426,0.7708579421140338,0.8079916838503847
fisher_kpp,10,30,8,2,2,0.6666666666666666,0.026810268871486152,0.016975344158709,0.8706995467848249,0.8181969340647414,0.8742657757203525,0.5441648861858747,0.8779372209800873,0.9473939457393716
fisher_kpp,20,30,18,2,2,0.8181818181818182,0.014771722722798551,0.01255229627713555,0.9426525720208088,0.9271203842993991,0.9435936488562798,0.8850253781703648,0.9475513880676467,0.9503992940995243
fisher_kpp,30,30,30,0,0,1.0,,,,,,,,
