case,tag,num_observation,noise_std,rel_l2,reliability_raw,physics_rms,boundary_rms,structure_error
poisson,baseline,256,0.0,0.11385225504636765,0.6751423513184179,0.34102150797843933,0.10569172352552414,0.0012587308883666992
poisson,s64_n10,64,0.1,0.11584524810314178,0.6744586945575061,0.3348819315433502,0.10635329782962799,0.0012614130973815918
poisson,s16_n20,16,0.2,0.11312144249677658,0.6770785099269512,0.3258940577507019,0.1096661314368248,0.000710606575012207
poisson,s8_n20,8,0.2,0.11291244626045227,0.6748407496631956,0.33634233474731445,0.10887369513511658,0.0007683038711547852
poisson,s8_n40,8,0.4,0.11333662271499634,0.6734428120088171,0.3395138084888458,0.1123543381690979,0.000592350959777832
burgers,baseline,256,0.0,0.018792152404785156,0.9217179487182001,0.0637611448764801,0.016032380983233452,0.0005310177803039551
burgers,s64_n10,64,0.1,0.02443893812596798,0.9187431445220328,0.06540229916572571,0.014964904636144638,0.002106785774230957
burgers,s32_n10,32,0.1,0.03256562352180481,0.9156532003736755,0.06660375744104385,0.015849072486162186,0.0027045011520385742
burgers,s16_n20,16,0.2,0.08216018229722977,0.8749778522571764,0.08228430896997452,0.026177918538451195,0.018337488174438477
burgers,s8_n20,8,0.2,0.07589858770370483,0.8733315236549659,0.09080488234758377,0.021329184994101524,0.017079174518585205
stokes_poiseuille,baseline,256,0.0,0.02565421722829342,0.8631241216744137,0.11266125738620758,0.02487444318830967,4.1961669921875e-05
stokes_poiseuille,s64_n10,64,0.1,0.026065001264214516,0.8619127146076953,0.11320897191762924,0.02610146626830101,4.220008850097656e-05
stokes_poiseuille,s32_n10,32,0.1,0.02423373982310295,0.863273829022989,0.11277657747268677,0.02449013851583004,4.118680953979492e-05
stokes_poiseuille,s16_n20,16,0.2,0.02881637215614319,0.8575225119029883,0.11490387469530106,0.03166932985186577,0.00011074542999267578
stokes_poiseuille,s8_n20,8,0.2,0.05261814221739769,0.8331443080464018,0.12623734772205353,0.042408932000398636,7.450580596923828e-05
