case,label,budget_name,num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,reliability_raw_mean,reliability_raw_std,cross_rate,cross_rate_ci_low,cross_rate_ci_high,physics_consistency_mean,training_stability_mean,numerical_accuracy_mean,structural_stability_mean,dominant_dimension
poisson,stable_noisy_obs64_noise020,baseline_budget,64,0.2,3,0.0951827044288317,0.004430419426639651,0.7455569414854454,0.007166822651700573,0.0,0.0,0.5615060804490177,0.24010773843334787,0.9507063102722886,0.8351771203490861,0.9562365968870591,physics_consistency
poisson,stable_noisy_obs64_noise020,stronger_budget,64,0.2,3,0.023067528381943665,0.006150196359007779,0.9102335897491104,0.015237169976934781,0.0,0.0,0.5615060804490177,0.7941236929822161,0.9507430648523009,0.9392250549954942,0.9568425461664304,physics_consistency
poisson,stable_sparse_obs32_noise020,baseline_budget,32,0.2,3,0.0947854543725649,0.003866950481702629,0.7547473362765661,0.010289247922333145,0.0,0.0,0.5615060804490177,0.27612802905560846,0.9505735978103216,0.8360742217126841,0.9562134965276501,physics_consistency
poisson,stable_sparse_obs32_noise020,stronger_budget,32,0.2,3,0.02429231504599247,0.007328374816592219,0.9209129443482006,0.0020169997217187505,0.0,0.0,0.5615060804490177,0.8320044778926627,0.9567845725722736,0.9380371275215231,0.9568255994063435,physics_consistency
stokes_poiseuille,near_boundary_obs12_noise020,baseline_budget,12,0.2,3,0.031150712631642763,0.01275434317779305,0.9295503974459912,0.007287035167786979,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.8730376893010585,0.9574762193425729,0.9308550513996144,0.9568326297407189,physics_consistency
stokes_poiseuille,near_boundary_obs12_noise020,stronger_budget,12,0.2,3,0.03570174363752201,0.009070143029175057,0.9300802508981013,0.006193812237324178,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.8813311644083112,0.9554195150847183,0.9267526916169063,0.9568176324824691,physics_consistency
stokes_poiseuille,boundary_obs8_noise0125,baseline_budget,8,0.125,3,0.016483327994743936,0.0036109633201380485,0.9391001908595578,0.0005085806787533946,0.0,0.0,0.5615060804490177,0.89701464659594,0.957597219017685,0.9449338895660114,0.9568550082585947,physics_consistency
stokes_poiseuille,boundary_obs8_noise0125,stronger_budget,8,0.125,3,0.0217254267384608,0.002772139865092912,0.9427173340037758,0.0005504646706523749,0.0,0.0,0.5615060804490177,0.9154690260335516,0.9579655900779627,0.9405825975159252,0.9568521223876635,physics_consistency
stokes_poiseuille,failure_obs8_noise020,baseline_budget,8,0.2,3,0.02527796414991217,0.005321625667562847,0.9330555027840616,0.0011655705616358608,0.0,0.0,0.5615060804490177,0.8807699704387583,0.9573095832484384,0.9373053148693101,0.9568371425797393,physics_consistency
stokes_poiseuille,failure_obs8_noise020,stronger_budget,8,0.2,3,0.0373891418178876,0.00257049452551424,0.9320342952800146,0.00029688562909775977,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.888100189927438,0.95772571474981,0.9254846791032705,0.9568265973395401,physics_consistency
burgers,safe_edge_obs64_noise005,baseline_budget,64,0.05,3,0.022280018155773434,0.004181678139062202,0.9322016404994438,0.005082135020553528,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.8763131475123265,0.956312860566733,0.9400416647420253,0.9561388891766902,physics_consistency
burgers,safe_edge_obs64_noise005,stronger_budget,64,0.05,3,0.013377599418163267,0.003824589726884551,0.9448859350007303,0.0017146241295668528,0.0,0.0,0.5615060804490177,0.9212288543493538,0.9542995898600893,0.9473761849132321,0.9566391108802454,physics_consistency
burgers,transition_obs48_noise005,baseline_budget,48,0.05,3,0.02599325900276497,0.011576100724410418,0.9129205431336381,0.03306291134219124,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.8760456605399362,0.8837306205166907,0.9360131607575152,0.9558927307204104,physics_consistency
burgers,transition_obs48_noise005,stronger_budget,48,0.05,3,0.01681359438225623,0.009527953160999171,0.9440625581683338,0.0038062726994162552,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.9181238536755326,0.9576296648234067,0.944222902957298,0.9562738112170978,physics_consistency
burgers,seed_sensitive_obs32_noise010,baseline_budget,32,0.1,3,0.03558083561559513,0.013495140790709678,0.9083135758622006,0.016952851964039978,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.8399074433864016,0.9121159713910122,0.9261704461016688,0.95506044256972,physics_consistency
burgers,seed_sensitive_obs32_noise010,stronger_budget,32,0.1,3,0.03637359912196791,0.014195878379179907,0.9304338116652868,0.009680094221293305,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.8841311265125622,0.9576131705586475,0.9251852120896902,0.9548057375002471,physics_consistency
burgers,failure_obs64_noise015,baseline_budget,64,0.15,3,0.0472002873818079,0.010179385929334466,0.9111539414888107,0.005296452188659242,1.0,0.43849391955098227,1.0,0.8289162982845698,0.9474350906178967,0.913532558776751,0.9547318182760254,physics_consistency
burgers,failure_obs64_noise015,stronger_budget,64,0.15,3,0.03333453585704163,0.01373229114189192,0.9288087691173751,0.011252865077420548,0.3333333333333333,0.0614903152761605,0.7923450448735121,0.8741392178039195,0.9574946117830274,0.9284310071785966,0.9551702397039571,physics_consistency
