num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,crosses_threshold_rate
8,0.0,5,0.015571335330605507,0.0027212599247830073,0.0
8,0.05,5,0.021062970533967017,0.004305038149438118,0.8
8,0.1,5,0.034685175865888596,0.012261183594195613,1.0
8,0.125,5,0.04212852381169796,0.01701614987180799,1.0
8,0.15,5,0.05000249855220318,0.022363699109470867,1.0
8,0.175,5,0.058392870053648946,0.028464473307040595,1.0
8,0.2,5,0.0671241495758295,0.03495779886064207,1.0
12,0.0,5,0.013570336438715459,0.0027134948044173755,0.0
12,0.05,5,0.02408408708870411,0.004742403060530845,1.0
12,0.1,5,0.039642051607370374,0.009050854654175445,1.0
12,0.125,5,0.047872865200042726,0.011492595439818155,1.0
12,0.15,5,0.05627909451723099,0.014060276941833977,1.0
12,0.175,5,0.06480870097875595,0.0167163151509796,1.0
12,0.2,5,0.07344024106860161,0.019416032099982855,1.0
16,0.0,5,0.013374334014952183,0.004051256114872275,0.2
16,0.05,5,0.016858925856649876,0.005372546407847467,0.4
16,0.1,5,0.025396696105599404,0.009382329305520664,0.6
16,0.125,5,0.030297433212399482,0.011698429404603682,0.8
16,0.15,5,0.0353850781917572,0.014031111863519236,0.8
16,0.175,5,0.04058724455535412,0.01634839125785577,1.0
16,0.2,5,0.04587146230041981,0.018645209586272624,1.0
32,0.0,5,0.011950242519378661,0.0022579467544563275,0.0
32,0.05,5,0.014591159485280513,0.002306947433204858,0.0
32,0.1,5,0.021935342252254485,0.0021976639248282004,0.8
32,0.125,5,0.0262484572827816,0.002553305787561588,1.0
32,0.15,5,0.030779819935560226,0.0031037660531427168,1.0
32,0.175,5,0.03544724248349666,0.0037490134492989026,1.0
32,0.2,5,0.04021511897444725,0.004434020464239176,1.0
