matrix_name,case,num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,reliability_raw_recal_mean,reliability_raw_recal_std,crosses_threshold_count,crosses_threshold_rate
probability_v2_fisher_kpp,fisher_kpp,32,0.0,5,0.011950242519378661,0.0022579467544563275,0.9185406340213441,0.04690556684937242,0,0.0
probability_v2_fisher_kpp,fisher_kpp,16,0.0,5,0.013374334014952183,0.004051256114872275,0.9024902815013738,0.07324826049417202,1,0.2
probability_v2_fisher_kpp,fisher_kpp,12,0.0,5,0.013570336438715459,0.0027134948044173755,0.9054514054880152,0.07160304126228097,0,0.0
probability_v2_fisher_kpp,fisher_kpp,8,0.0,5,0.015571335330605507,0.0027212599247830073,0.9038613039415287,0.03679368486894706,0,0.0
probability_v2_fisher_kpp,fisher_kpp,32,0.05,5,0.014591159485280513,0.002306947433204858,0.9103035552394394,0.042131122127335885,0,0.0
probability_v2_fisher_kpp,fisher_kpp,16,0.05,5,0.016858925856649876,0.005372546407847467,0.8930637025228338,0.06845209243249527,2,0.4
probability_v2_fisher_kpp,fisher_kpp,12,0.05,5,0.02408408708870411,0.004742403060530845,0.8396224876755379,0.12696108552380947,5,1.0
probability_v2_fisher_kpp,fisher_kpp,8,0.05,5,0.021062970533967017,0.004305038149438118,0.8633297958188801,0.07003253059925149,4,0.8
probability_v2_fisher_kpp,fisher_kpp,32,0.1,5,0.021935342252254485,0.0021976639248282004,0.8684598140283654,0.04434121691257818,4,0.8
probability_v2_fisher_kpp,fisher_kpp,16,0.1,5,0.025396696105599404,0.009382329305520664,0.8320454170691507,0.10133147803483633,3,0.6
probability_v2_fisher_kpp,fisher_kpp,12,0.1,5,0.039642051607370374,0.009050854654175445,0.6589469326938353,0.23581591081751477,5,1.0
probability_v2_fisher_kpp,fisher_kpp,8,0.1,5,0.034685175865888596,0.012261183594195613,0.7148532641084384,0.20363738681704274,5,1.0
probability_v2_fisher_kpp,fisher_kpp,32,0.125,5,0.0262484572827816,0.002553305787561588,0.8285569551322296,0.04691104749584768,5,1.0
probability_v2_fisher_kpp,fisher_kpp,16,0.125,5,0.030297433212399482,0.011698429404603682,0.7772514661694071,0.13289389244454133,4,0.8
probability_v2_fisher_kpp,fisher_kpp,12,0.125,5,0.047872865200042726,0.011492595439818155,0.5514056771482045,0.2515715027286677,5,1.0
probability_v2_fisher_kpp,fisher_kpp,8,0.125,5,0.04212852381169796,0.01701614987180799,0.6193140994483224,0.2529613763000241,5,1.0
probability_v2_fisher_kpp,fisher_kpp,32,0.15,5,0.030779819935560226,0.0031037660531427168,0.7694311432879372,0.04931054050997444,5,1.0
probability_v2_fisher_kpp,fisher_kpp,16,0.15,5,0.0353850781917572,0.014031111863519236,0.7080239518593904,0.16653644925415748,4,0.8
probability_v2_fisher_kpp,fisher_kpp,12,0.15,5,0.05627909451723099,0.014060276941833977,0.4442383246288631,0.25724407099697966,5,1.0
probability_v2_fisher_kpp,fisher_kpp,8,0.15,5,0.05000249855220318,0.022363699109470867,0.5226814220319037,0.2575830577847126,5,1.0
probability_v2_fisher_kpp,fisher_kpp,32,0.175,5,0.03544724248349666,0.0037490134492989026,0.6884612944108791,0.05090099370932247,5,1.0
probability_v2_fisher_kpp,fisher_kpp,16,0.175,5,0.04058724455535412,0.01634839125785577,0.6290613685626303,0.19153882489400034,5,1.0
probability_v2_fisher_kpp,fisher_kpp,12,0.175,5,0.06480870097875595,0.0167163151509796,0.35174257045462515,0.2526098188860486,5,1.0
probability_v2_fisher_kpp,fisher_kpp,8,0.175,5,0.058392870053648946,0.028464473307040595,0.4176970051492581,0.25368565372490837,5,1.0
probability_v2_fisher_kpp,fisher_kpp,32,0.2,5,0.04021511897444725,0.004434020464239176,0.5878635131481331,0.055212184217217686,5,1.0
probability_v2_fisher_kpp,fisher_kpp,16,0.2,5,0.04587146230041981,0.018645209586272624,0.545997265911001,0.2048934017848623,5,1.0
probability_v2_fisher_kpp,fisher_kpp,12,0.2,5,0.07344024106860161,0.019416032099982855,0.2762305595274795,0.23491794873318925,5,1.0
probability_v2_fisher_kpp,fisher_kpp,8,0.2,5,0.0671241495758295,0.03495779886064207,0.32082499900184136,0.24896067956863124,5,1.0
