matrix_name,case,num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,reliability_raw_recal_mean,reliability_raw_recal_std,crosses_threshold_count,crosses_threshold_rate
probability_v2_poisson,poisson,16,0.05,5,0.0997333511710167,0.00432843357992392,0.9517784404501735,0.06132067292545639,0,0.0
probability_v2_poisson,poisson,12,0.05,5,0.10087618976831436,0.003180823073294238,0.9348211845717224,0.08291016701409203,0,0.0
probability_v2_poisson,poisson,10,0.05,5,0.10157123506069184,0.003389173070263793,0.9271692555657332,0.07349789121936796,0,0.0
probability_v2_poisson,poisson,8,0.05,5,0.10283267647027969,0.0036380361522955523,0.9390323149709122,0.06761901271695334,0,0.0
probability_v2_poisson,poisson,6,0.05,5,0.10542616993188858,0.0024219929263827153,0.8969748712420811,0.09943957192279657,0,0.0
probability_v2_poisson,poisson,4,0.05,5,0.10477629899978638,0.004705247720820891,0.8932104460147985,0.09879950319022199,1,0.2
probability_v2_poisson,poisson,16,0.1,5,0.10039063841104508,0.0047360955335455,0.9524501646501634,0.06514168678504581,0,0.0
probability_v2_poisson,poisson,12,0.1,5,0.10176781862974167,0.004190036594136629,0.9030045354817696,0.09961423959856028,0,0.0
probability_v2_poisson,poisson,10,0.1,5,0.10300600230693817,0.00420863586095402,0.898074207353132,0.08251613658387358,0,0.0
probability_v2_poisson,poisson,8,0.1,5,0.10409672260284424,0.005018536262055089,0.9100318213179306,0.08592777831075617,0,0.0
probability_v2_poisson,poisson,6,0.1,5,0.10593324303627014,0.004112491779989456,0.884885688416564,0.09963395994948868,0,0.0
probability_v2_poisson,poisson,4,0.1,5,0.10444199442863464,0.004002634147159967,0.8923548903832198,0.09277664303589798,0,0.0
probability_v2_poisson,poisson,16,0.125,5,0.10082147717475891,0.0049703846146860325,0.9513109574028031,0.06719994121876657,0,0.0
probability_v2_poisson,poisson,12,0.125,5,0.10234182924032212,0.005096362189001753,0.8930864946087216,0.10779622876240866,0,0.0
probability_v2_poisson,poisson,10,0.125,5,0.10386337786912918,0.004915821574803032,0.8829624101551706,0.09432153616916147,0,0.0
probability_v2_poisson,poisson,8,0.125,5,0.10490384846925735,0.006026789397823968,0.8975849893670172,0.10267434146025876,1,0.2
probability_v2_poisson,poisson,6,0.125,5,0.106305031478405,0.0049532461592805,0.8733221277964237,0.1013696430362854,0,0.0
probability_v2_poisson,poisson,4,0.125,5,0.10438616424798966,0.0038788343994644453,0.8867045610674993,0.09073280712887567,0,0.0
probability_v2_poisson,poisson,16,0.15,5,0.10132756978273391,0.0052178302126394335,0.9492531076963024,0.06930137381880098,0,0.0
probability_v2_poisson,poisson,12,0.15,5,0.10302114486694336,0.006186008255740377,0.8781056727516465,0.12287164615115267,1,0.2
probability_v2_poisson,poisson,10,0.15,5,0.10483332425355911,0.005773393302005369,0.86864038517172,0.1087207952649749,1,0.2
probability_v2_poisson,poisson,8,0.15,5,0.10583246499300003,0.007237022598775455,0.862663934112424,0.1599808696536035,1,0.2
probability_v2_poisson,poisson,6,0.15,5,0.10678516030311584,0.005791059841958832,0.8600726375339433,0.10807132016805596,0,0.0
probability_v2_poisson,poisson,4,0.15,5,0.1043668419122696,0.003999716704398838,0.8789921865842222,0.0912069203552071,0,0.0
probability_v2_poisson,poisson,16,0.175,5,0.10191036015748978,0.005496104785852947,0.946216179913509,0.07143070784744233,0,0.0
probability_v2_poisson,poisson,12,0.175,5,0.10376674085855483,0.007462632381722101,0.8398057486663566,0.1780864919714585,1,0.2
probability_v2_poisson,poisson,10,0.175,5,0.10586252957582473,0.0067798314977762135,0.8342367720779467,0.15647222933625657,1,0.2
probability_v2_poisson,poisson,8,0.175,5,0.10686701834201813,0.008619458658873536,0.8471625417532525,0.18751399497141513,1,0.2
probability_v2_poisson,poisson,6,0.175,5,0.1073484554886818,0.006651824854271738,0.8411630719532217,0.12291173710007681,2,0.4
probability_v2_poisson,poisson,4,0.175,5,0.10441043823957444,0.004293670537589117,0.8710299130560955,0.0946310558030921,0,0.0
probability_v2_poisson,poisson,16,0.2,5,0.10254584699869156,0.005822119968407403,0.9424500268426313,0.07311698176182824,0,0.0
probability_v2_poisson,poisson,12,0.2,5,0.10457562506198884,0.00887148646809977,0.8303927618688878,0.1869506276721204,1,0.2
probability_v2_poisson,poisson,10,0.2,5,0.10699304938316345,0.007947363730502024,0.8174057269207498,0.18143467064261437,1,0.2
probability_v2_poisson,poisson,8,0.2,5,0.10798922330141067,0.01014364629085452,0.8459887645687514,0.1888669205371365,1,0.2
probability_v2_poisson,poisson,6,0.2,5,0.10796841084957123,0.007487882218627055,0.8054683885379684,0.15881176723491858,2,0.4
probability_v2_poisson,poisson,4,0.2,5,0.1045427829027176,0.004720540887747916,0.8651471904560614,0.09948104064516759,0,0.0
