num_observation,noise_std,n_seed,rel_l2_mean,rel_l2_std,crosses_threshold_rate
8,0.0,5,0.012783592566847801,0.003037457276575517,0.2
8,0.05,5,0.017200511321425437,0.0029816797310777948,0.8
8,0.1,5,0.023549005389213562,0.00542197419911608,0.8
8,0.125,5,0.027113399654626846,0.006718229246501444,0.8
8,0.15,5,0.03085464648902416,0.007984439034529384,1.0
8,0.175,5,0.03474564515054226,0.009235397514580142,1.0
8,0.2,5,0.038760970905423166,0.01048274308223905,1.0
10,0.0,5,0.010926038026809692,0.0016863221149915704,0.0
10,0.05,5,0.013632422126829625,0.003179558805033762,0.4
10,0.1,5,0.018585500307381153,0.004414025302502171,0.8
10,0.125,5,0.021479177102446557,0.004956759966201775,1.0
10,0.15,5,0.024536027386784554,0.0054847299349296075,1.0
10,0.175,5,0.027717266231775284,0.0060323686792147875,1.0
10,0.2,5,0.030994152277708055,0.006601308915493272,1.0
12,0.0,5,0.011416434962302446,0.0033109593517210625,0.2
12,0.05,5,0.0138420682400465,0.005025644091089513,0.2
12,0.1,5,0.019804472103714943,0.006352207142063909,0.6
12,0.125,5,0.023357156850397586,0.0071613288930394295,0.8
12,0.15,5,0.027157397568225862,0.008066394754508611,1.0
12,0.175,5,0.03117750324308872,0.009046543407606395,1.0
12,0.2,5,0.03541834205389023,0.01008746042181882,1.0
16,0.0,5,0.011487925797700882,0.0030041964623887217,0.0
16,0.05,5,0.013156832382082938,0.003243320916745086,0.4
16,0.1,5,0.01709028836339712,0.004297471876400003,0.6
16,0.125,5,0.019527447409927845,0.005022949264104306,0.6
16,0.15,5,0.02218054160475731,0.0058180650388219,1.0
16,0.175,5,0.024999208375811578,0.006660243315519382,1.0
16,0.2,5,0.027942942827939986,0.0075345682685777704,1.0
