case,label,strategy,metric,n_seed,baseline_mean,strategy_mean,delta_mean,delta_std,bootstrap_ci_low,bootstrap_ci_high,cohens_dz,ci_crosses_zero
burgers,transition_obs48_noise005,dim_guided_v2,rel_l2,5,0.03433955982327456,0.03440512828528876,6.5568462014199e-05,0.024245695564959893,-0.01760075166821482,0.023992533609271057,0.0024188299791366168,1
burgers,transition_obs48_noise005,dim_guided_v2,reliability_raw_recal,5,0.781597979594683,0.7359400746488344,-0.04565790494584863,0.36544437116838857,-0.3890986510900415,0.23795119846041116,-0.11174798379597828,1
burgers,transition_obs48_noise005,dim_guided_v2,physics_consistency_recal,5,0.7058872470504773,0.6575434793767907,-0.0483437676736866,0.343459130679887,-0.3842339843777529,0.18231705714173332,-0.12589556212156391,1
burgers,transition_obs48_noise005,dim_guided_v2,training_stability_recal,5,0.6521856147112653,0.6583453211495744,0.006159706438309121,0.6652921057876601,-0.5674267051661926,0.5797461180428108,0.008281187885850777,1
burgers,transition_obs48_noise005,dim_guided_v2,numerical_accuracy_recal,5,0.8572890382325777,0.8130540232670954,-0.04423501496548241,0.2865985153071419,-0.33480136271519934,0.14383521948645037,-0.13805026218302163,1
burgers,transition_obs48_noise005,dim_guided_v2,structural_stability_recal,5,0.9110300183844116,0.8148174748018768,-0.0962125435825348,0.23226605974679335,-0.3289175301396724,0.05624130163517693,-0.37050232474472267,1
burgers,transition_obs48_noise005,naive_region_aware_v1,rel_l2,5,0.03433955982327456,0.04965838491916651,0.015318825095891941,0.01669670509993817,0.000795691460370998,0.029494183883070946,0.8206154219007188,0
burgers,transition_obs48_noise005,naive_region_aware_v1,reliability_raw_recal,5,0.781597979594683,0.6036973660727307,-0.17790061352195236,0.28671115981638423,-0.42600548354698775,0.06166803368471243,-0.5549806506712355,1
burgers,transition_obs48_noise005,naive_region_aware_v1,physics_consistency_recal,5,0.7058872470504773,0.4140510484610035,-0.29183619858947385,0.21333945592281708,-0.4688176713581972,-0.08757942830427101,-1.2235253446550083,0
burgers,transition_obs48_noise005,naive_region_aware_v1,training_stability_recal,5,0.6521856147112653,0.6855845439241317,0.033398929212866316,0.6257470385163773,-0.4976248212506874,0.5474993304667306,0.04773959539480459,1
burgers,transition_obs48_noise005,naive_region_aware_v1,numerical_accuracy_recal,5,0.8572890382325777,0.6735306957500307,-0.18375834248254724,0.22890872845829222,-0.39661244415656166,0.005333595580158912,-0.718008698036221,1
burgers,transition_obs48_noise005,naive_region_aware_v1,structural_stability_recal,5,0.9110300183844116,0.6416231761557569,-0.2694068422286547,0.2492743279368088,-0.526018758329075,-0.0912582360978795,-0.9666651480926582,0
burgers,transition_obs48_noise005,non_dominant_guided_v3,rel_l2,5,0.03433955982327456,0.026269671320915178,-0.00806988850235938,0.009539318839859178,-0.01592997387051584,0.0002834919840097587,-0.7566502206308865,1
burgers,transition_obs48_noise005,non_dominant_guided_v3,reliability_raw_recal,5,0.781597979594683,0.8776308566653184,0.09603287707063542,0.13559484498440133,-0.008784965171406612,0.22857200380280757,0.6334637315438494,1
burgers,transition_obs48_noise005,non_dominant_guided_v3,physics_consistency_recal,5,0.7058872470504773,0.7379031405382611,0.032015893487783754,0.07939055720786138,-0.02833416764984755,0.10891060363507063,0.3606963685196979,1
burgers,transition_obs48_noise005,non_dominant_guided_v3,training_stability_recal,5,0.6521856147112653,0.9148524703601068,0.2626668556488414,0.36294847463945473,-0.008017060702620094,0.6268541499700071,0.6472995322549692,1
burgers,transition_obs48_noise005,non_dominant_guided_v3,numerical_accuracy_recal,5,0.8572890382325777,0.9243226374696508,0.06703359923707289,0.06734019888816228,0.008373435324186574,0.12464511246896241,0.8903548676445767,0
burgers,transition_obs48_noise005,non_dominant_guided_v3,structural_stability_recal,5,0.9110300183844116,0.9334451782932554,0.02241515990884375,0.05034384431457911,-0.016503747049978902,0.06928815070623381,0.3982359469373124,1
burgers,seed_sensitive_obs32_noise010,dim_guided_v2,rel_l2,5,0.04726530015468595,0.04466259852051731,-0.0026027016341686393,0.03324812792567471,-0.036714810878038434,0.02094117626547814,-0.07001678761776797,1
burgers,seed_sensitive_obs32_noise010,dim_guided_v2,reliability_raw_recal,5,0.6645811321088315,0.7393857339984151,0.07480460188958353,0.24857303083442137,-0.08364890534545477,0.3250113214476019,0.26916544291780087,1
burgers,seed_sensitive_obs32_noise010,dim_guided_v2,physics_consistency_recal,5,0.6370220870557479,0.669854019364579,0.032831932308831066,0.0811077182956205,-0.0375804455846777,0.10324431020233982,0.3620589212367572,1
burgers,seed_sensitive_obs32_noise010,dim_guided_v2,training_stability_recal,5,0.5809676680134115,0.8246476500313769,0.24367998201796537,0.4262157593946988,-0.11245482398917235,0.6291586180989988,0.5113701148187757,1
burgers,seed_sensitive_obs32_noise010,dim_guided_v2,numerical_accuracy_recal,5,0.7158150220517675,0.7483765222419049,0.03256150019013726,0.41206909076878645,-0.27612599664921317,0.44882664583017695,0.07067720390158849,1
burgers,seed_sensitive_obs32_noise010,dim_guided_v2,structural_stability_recal,5,0.7245197513143993,0.7146647443557996,-0.009855006958599578,0.3675606210846899,-0.312606734874836,0.36117121393970963,-0.023981312702249104,1
burgers,seed_sensitive_obs32_noise010,naive_region_aware_v1,rel_l2,5,0.04726530015468595,0.04486939236521716,-0.00239590778946878,0.03157790416963952,-0.03497525155544282,0.01673365607857704,-0.06786280250003816,1
burgers,seed_sensitive_obs32_noise010,naive_region_aware_v1,reliability_raw_recal,5,0.6645811321088315,0.6130575807020048,-0.05152355140682678,0.2736485279674672,-0.2622184172594759,0.21191242871993837,-0.16840604149212368,1
