case,label,variant,n_seed,rel_l2_mean,rel_l2_std,cross_rate,reliability_raw_recal_mean,reliability_raw_recal_std,physics_consistency_recal_mean,training_stability_recal_mean,numerical_accuracy_recal_mean,structural_stability_recal_mean
poisson,safe_obs256_noise000,baseline,3,0.11402407785256703,0.00110166957064058,0,0.8377112328190982,0.10500919870701511,0.8882842652907906,0.8953571542550381,0.82513832324786,0.742065188482704
poisson,safe_obs256_noise000,capacity_v1,3,0.10763836403687795,0.0014547827685284613,0,0.8372563358117702,0.12493496571328863,0.9986691777853258,0.6653682053051917,0.9993159726323716,0.6856719875241915
poisson,safe_obs256_noise000,weight_balanced_v2,3,0.1250208616256714,0.003596672440675965,0,0.49151428195819175,0.14400987507637353,0.6942169083032976,0.5794269859829453,0.004533231007950545,0.6878800025385735
poisson,degraded_obs8_noise020,baseline,3,0.12449188282092412,0.00927275939621439,0,0.5449626431380513,0.20840468961435282,0.6508671673077958,0.5494969448980958,0.3175691612281616,0.6619172991181521
poisson,degraded_obs8_noise020,capacity_v1,3,0.11885588864485423,0.00985591921145592,0,0.7481148516527104,0.19892777176979748,0.9897346338895368,0.9881806672699693,0.4626686455647098,0.5518754598866257
poisson,degraded_obs8_noise020,weight_balanced_v2,3,0.1295119971036911,0.003704539484603389,0,0.4590504929924915,0.17254712821569762,0.6642309412726022,0.5593567392376165,4.111712144569713e-05,0.6125731743383015
stokes_poiseuille,safe_obs64_noise000,baseline,3,0.021157216591139633,0.005817949870010226,0,0.9671104753264249,0.033595092056259275,0.974713730493202,0.9735200996399667,0.9697468585669117,0.9504612126056193
stokes_poiseuille,safe_obs64_noise000,capacity_v1,3,0.013599471809963385,0.001415750827096461,0,0.9958100403823025,0.00019738587013531716,0.999867559970803,0.9923399854942213,0.9966406467763979,0.9943919692877878
stokes_poiseuille,safe_obs64_noise000,weight_balanced_v2,3,0.02283561664323012,0.00653466701343732,0,0.9829816464640679,0.009703287572014609,0.999232610793602,0.985918325249264,0.9533395328689481,0.9934361169444577
stokes_poiseuille,critical_obs8_noise0125,baseline,3,0.03887022535006205,0.0028688460846213962,0.6666666666666666,0.7932774199402823,0.09282396086059158,0.8580507222071492,0.8767876002989435,0.5057263571734624,0.9325450000815744
stokes_poiseuille,critical_obs8_noise0125,capacity_v1,3,0.03421164179841677,0.0008658809180475423,0,0.9138049114156315,0.01256397591586239,0.9872406616716102,0.9412137550816717,0.7471319049619172,0.9796333239473269
stokes_poiseuille,critical_obs8_noise0125,weight_balanced_v2,3,0.033455003052949905,0.004605106452390562,0,0.9208195855176673,0.04575267679392261,0.998185974875897,0.9589236413079342,0.7333343771213297,0.9928343487655082
stokes_poiseuille,failure_obs8_noise0175,baseline,3,0.046464099238316216,0.0024743782676777126,1,0.5787007513287539,0.14763161953558415,0.6988246316518842,0.636392425412186,0.17232745965252685,0.8072584885984185
stokes_poiseuille,failure_obs8_noise0175,capacity_v1,3,0.04268384352326393,0.0008178992279019019,1,0.6990258663927664,0.06732195522613031,0.8585703893379469,0.7168449152586003,0.30727575877172225,0.9134124022027961
stokes_poiseuille,failure_obs8_noise0175,weight_balanced_v2,3,0.03747257962822914,0.003837263383957031,0.3333333333333333,0.8587039115423523,0.07032210675748846,0.9956394059959313,0.8759961220781349,0.5720467288982302,0.9911333891971126
burgers,safe_obs64_noise005,baseline,3,0.024517137557268143,0.0033933932956714233,0.3333333333333333,0.8688900807798585,0.07463188803962588,0.662341123772629,0.9395782510836751,0.9371809599217735,0.9364599883413566
burgers,safe_obs64_noise005,capacity_v1,3,0.03887802300353845,0.016413193163893627,0.6666666666666666,0.7209781923277685,0.16224889726631161,0.6038954326990333,0.6169584538697822,0.777253128081664,0.8858057546605942
burgers,safe_obs64_noise005,weight_balanced_v2,3,0.024669769530495007,0.0045694812414382065,0.3333333333333333,0.9426204244202024,0.01185275288390909,0.9563297058803101,0.9461294463152585,0.9350205251383027,0.9330020203469387
burgers,transition_obs48_noise010,baseline,3,0.03573796773950259,0.00974926631837878,0.6666666666666666,0.772703613090232,0.007499012158087445,0.6016153605972299,0.7602862508405511,0.8466008551651276,0.8823119857580196
burgers,transition_obs48_noise010,capacity_v1,3,0.03584818293650945,0.0043437775683203604,1,0.8210376209820452,0.10798956546470366,0.8703474657859253,0.6170625467646544,0.8630799134882433,0.9336605578893579
burgers,transition_obs48_noise010,weight_balanced_v2,3,0.024318355446060497,0.0009064603077245969,0,0.9392462793778108,0.01368122381523318,0.9594313954136309,0.9186658948786902,0.9395292186333439,0.9393586085855785
burgers,seed_sensitive_obs32_noise010,baseline,3,0.05665655558307966,0.034573316791621116,1,0.5252905335603831,0.3517427180462896,0.5178958106091343,0.379846452846785,0.6086388907314874,0.5947809800541258
burgers,seed_sensitive_obs32_noise010,capacity_v1,3,0.04278506711125374,0.003118653557482583,1,0.8124564590809906,0.061306957276824045,0.8128250174907521,0.8301542028216012,0.7931928598959151,0.813653756115694
burgers,seed_sensitive_obs32_noise010,weight_balanced_v2,3,0.04639544462164243,0.018533288876595187,1,0.7281824794196582,0.26586769621190093,0.6434342748715427,0.7544388312500934,0.6861402075013853,0.8287166040556113
burgers,failure_obs32_noise0175,baseline,3,0.08526438598831494,0.017517637962983643,1,0.19022861926963797,0.14049155431974875,0.19676956263319198,0.26587600500856956,0.2089201870754761,0.08934872236131422
burgers,failure_obs32_noise0175,capacity_v1,3,0.060012095918258034,0.011103179351711609,1,0.3047166687190541,0.10835092247822822,0.1686639040013635,0.14053757196032307,0.5194298005518734,0.3902353983626563
